"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume"
"2011-09-15",325.78,327,324,325.77,337691
"2011-09-22",317.87,320.37,311.72,316.13,713177
"2011-09-29",337.23,337.23,313.18,317.58,529489
"2011-10-06",317.06,323.19,316.11,322.37,362090
"2011-10-13",327.14,328.76,325,326.56,359877
"2011-10-20",327.03,328.61,325.18,326.95,346600
"2011-10-27",333.09,333.75,329.51,330.64,458263
"2011-11-03",325.61,326.32,321.58,324.66,355595
"2011-11-10",327.61,331.21,327,330.71,233418
"2011-11-17",331.59,332.63,327.21,328.32,154896
"2011-12-01",329.01,336.33,329.01,335.3,248978
"2011-12-08",333.58,334.2,329.1,329.67,263307
"2011-12-15",325.32,330.04,323.7,327.32,293817
"2011-12-22",330.75,331.06,327.84,329,272816
"2011-12-29",328.59,329.31,325.4,326.25,160949
"2012-01-05",323.98,334.1,321.19,333.85,666460
"2012-01-12",341.59,343.49,339.39,342.98,337381
"2012-01-19",347.48,347.48,344.63,346.5,671595
"2012-01-26",348.62,348.9,347.24,347.91,323063
"2012-02-02",352.6,353.25,349.14,349.17,159946
"2012-02-09",347.27,354.25,347.27,354.04,305522
"2012-02-16",357.01,359.12,353.8,357.96,451522
"2012-02-23",359.23,360.4,358,358.5,219760
"2012-03-01",375.12,378.96,373.75,378.44,485508
"2012-03-08",384.88,386,380.41,380.5,426643
"2012-03-15",378.94,380.52,377.16,379,279215
"2012-03-22",375.49,379.4,375.02,378.13,273634
"2012-03-29",375.21,376.84,373.55,374.34,239529
"2012-04-05",384.75,385.09,380.11,383.8,715112
"2012-04-12",375.91,379.34,373.84,378.73,273556
"2012-04-19",379.42,382.41,378.67,380,535470
"2012-04-26",380.95,395.12,380.95,393.72,833541
"2012-05-03",397.72,398.2,392.71,393.7,179382
"2012-05-10",383.9,388.22,382.1,385.73,327141
"2012-05-17",375.97,377.97,362.66,365.58,1870951
"2012-05-24",370.01,373.89,369,369.4,631854
"2012-05-31",377.99,382.68,373.5,380.26,1006556
"2012-06-07",388.06,391.9,383.88,383.88,429706
"2012-06-14",384.87,387.59,383.16,385.75,389359
"2012-06-21",387.58,388,378.27,381.64,399832
"2012-06-28",356.67,359.57,353.88,358.43,646757
"2012-07-05",357.55,368.87,357.55,366.55,329684
"2012-07-12",368.61,386.13,368.61,382.45,1088777
"2012-07-19",385.02,385.02,378.12,382.9,339186
"2012-07-26",380,380,367.14,373.38,507697
"2012-08-02",362.19,364.68,357.51,362.34,569144
"2012-08-09",357.29,365.15,356.99,363.12,554278
"2012-08-16",356.47,359.14,355.75,358.55,349259
"2012-08-23",364.45,365.92,361.68,363.26,195350
"2012-08-30",362.25,364.21,358.15,359.87,347601
"2012-09-06",364.96,370.41,363.32,368.72,412102
"2012-09-13",371.77,373.67,367.5,369.96,500786
"2012-09-20",376.67,376.67,364.67,371.63,1391406
"2012-09-27",374.9,378.52,370.08,371.47,610186
"2012-10-04",369.5,377.89,369.5,376.79,564017
"2012-10-11",380.46,380.46,374.35,374.35,426913
"2012-10-18",366.35,373.33,365.26,370.39,721463
"2012-10-25",367.43,370.05,363.73,367.78,387356
"2012-11-01",376,386.8,372.26,380.34,673071
"2012-11-08",383.75,385.44,378.45,378.97,338023
"2012-11-15",369.87,373.82,367.88,372.78,290717
"2012-11-29",381.84,382.7,377.74,379.78,485869
"2012-12-06",355.92,367.17,355.38,364.07,668320
"2012-12-13",358.27,363.17,357.6,359.32,547379
"2012-12-20",359.43,360.74,355.23,356.02,552896
"2012-12-27",351.25,354.09,345.3,353.1,437831
"2013-01-03",355.43,357.91,353.75,356.14,299253
"2013-01-10",349.85,352.16,344.32,346.5,729229
"2013-01-17",350,351.18,347.28,348.63,207687
"2013-01-24",357.41,359.98,355,357.57,563029
"2013-01-31",364.67,369.7,363.2,369.7,466417
"2013-02-07",377.5,383.1,374.46,379.85,1112087
"2013-02-14",378.5,380.5,372.94,373.61,742331
"2013-02-21",378.59,383.64,376.42,377.56,432891
"2013-02-28",376.01,380.16,375.12,380.15,459553
"2013-03-07",377.48,381.6,375.29,381.52,397808
"2013-03-14",391.69,392.6,389.19,389.65,318101
"2013-03-21",394.38,395.65,391.35,393.26,173154
"2013-03-28",393.24,396.79,391.05,396.77,537884
"2013-04-04",395.11,402.09,394,401.83,211737
"2013-04-11",390.45,396.89,388.05,392.83,182799
"2013-04-18",383.1,383.65,375.94,379.01,438789
"2013-04-25",393,402.1,390,398.26,421925
"2013-05-02",409.29,410.86,405.26,407.58,210847
"2013-05-09",418.99,419.8,414.29,415.33,121276
"2013-05-16",416.97,418.23,412.72,413.5,184036
"2013-05-23",417.08,420.36,415.01,418.9,330130
"2013-05-30",416.95,421.79,416.95,417.94,177664
"2013-06-06",406.11,415.56,406.11,415.39,193558
"2013-06-13",416.87,419.91,415.07,419.5,238112
"2013-06-20",417.63,421.16,412.29,412.65,304098
"2013-06-27",415.65,424.41,415.65,422.87,221871
"2013-07-11",436.84,441.18,435.95,441,294406
"2013-07-18",431.61,436.69,429.58,435.32,260164
"2013-07-25",439.1,440.5,434.27,438.02,318071
"2013-08-01",447.58,452.15,445.95,447.99,290607
"2013-08-08",436.23,437.11,424.43,429.02,407596
"2013-08-15",427.01,427.99,419.3,420.06,207270
"2013-08-22",420.47,423.94,419.18,421.11,111695
"2013-08-29",418.01,422.93,417.84,421.52,106441
"2013-09-05",423.38,423.42,418,420.1,182124
"2013-09-12",420.6,422.21,415.6,417.06,155452
"2013-09-19",421.99,423.42,417.9,422.79,250448
"2013-09-26",424.88,425.99,420.1,421.68,399122
"2013-10-03",422.38,426.31,417.96,418.26,333733
"2013-10-10",419.3,421.19,417.42,420.77,233162
"2013-10-17",422.57,429.72,421.62,429.13,238559
"2013-10-24",424.45,432.28,422.12,427.18,354747
"2013-10-31",430.86,435.05,428.63,434.69,238858
"2013-11-07",447,448.3,443.23,443.49,253235
"2013-11-14",457.5,458.96,455.95,458.34,167648
"2013-11-21",463.71,469.61,460.71,469.34,139891
"2013-12-05",459.99,463.19,457.36,460,226194
"2013-12-12",469.41,469.41,463.5,465.9,266249
"2013-12-19",471.64,473.33,467.4,470.84,287278
"2013-12-26",479.95,479.95,474.46,476.85,125045
"2014-01-02",477.67,479.7,472.51,474.11,151840
"2014-01-09",489.26,493.22,486.87,492.45,354294
"2014-01-16",495.03,497.25,491.05,495.47,222331
"2014-01-23",503.26,504.17,497.44,499.29,182434
"2014-01-30",492.86,500.48,492.86,498.92,317119
"2014-02-06",493.01,518.81,493.01,517.16,606762
"2014-02-13",540,544,536,540.8,325569
"2014-02-20",538.22,539.5,535.16,538.59,280675
"2014-02-27",534.78,538.92,531.07,538.46,260146
"2014-03-06",545,546.03,540.6,541.5,390450
"2014-03-13",543.19,544.7,528.38,528.74,391551
"2014-03-20",532.52,534.75,528,533,235061
"2014-03-27",522.31,527.16,519.6,525.71,200139
"2014-04-03",534.96,538.69,533.01,535.61,182392
"2014-04-10",528.2,528.94,513.5,514.59,287513
"2014-04-17",519.93,523.64,515.47,516.16,205825
"2014-04-24",525,527.08,521.25,525.88,193498
"2014-05-01",529.12,534.43,525.21,526.79,200689
"2014-05-08",523.84,532.68,522,530.86,214423
"2014-05-15",530.37,530.37,516.79,524.28,232009
"2014-05-22",534.92,544.5,534.92,541.66,296293
"2014-05-29",533.66,535,525.08,527.47,228728
"2014-06-05",541.09,541.09,536.5,537.94,213942
"2014-06-12",529.37,529.37,520.81,524.37,248019
"2014-06-19",529.21,530,526.71,527.99,135479
"2014-06-26",530,532.65,526.75,532.4,120251
"2014-07-03",537.43,540.4,536.11,539.46,139233
"2014-07-10",535.27,538.35,532,534.02,132362
"2014-07-17",528,531.27,523.51,524.69,149036
"2014-07-24",511.64,516.76,510.54,514.82,242043
"2014-07-31",523.8,523.8,516.8,517.03,284707
"2014-08-07",520.3,521.77,515.99,517.26,203005
"2014-08-14",526.34,533.07,524.43,530.67,163085
"2014-08-21",538.06,541.07,536.26,537.78,145125
"2014-08-28",535.09,540,533.59,538.77,102482
"2014-09-04",537.21,538.38,534.67,534.97,143970
"2014-09-11",526.12,531.76,525.84,530.33,165950
"2014-09-18",536.32,536.32,529.46,532.31,286021
"2014-09-25",505.64,509.37,504.5,504.62,225313
"2014-10-02",509.27,516.23,506.3,513.3,277770
"2014-10-09",517.35,517.35,507.57,508.32,336185
"2014-10-16",501.66,507.98,499.48,504.58,279350
"2014-10-23",525.2,535.39,525.11,531.57,228270
"2014-10-30",547.3,553.7,547.3,551.46,250067
"2014-11-06",557.74,566.53,554.51,566.05,397095
"2014-11-13",569.53,576,569.53,573.72,347991
"2014-11-20",564.95,569.5,564.95,567.5,176591
"2014-12-04",588,592.9,586.09,588.07,299490
"2014-12-11",602.82,606.39,597.31,602.39,319719
"2014-12-18",606.77,616.11,600.12,615.48,340263
"2015-01-08",610.36,614.97,605.07,606,594329
"2015-01-15",584.08,586.53,574.92,575.28,196611
"2015-01-22",587.74,602.68,586.41,600.1,254096
"2015-01-29",606.01,612.9,606.01,611.13,262337
"2015-02-05",605.96,621.48,596.64,614.88,364116
"2015-02-12",619.89,621.75,615.52,617.51,160569
"2015-02-19",621.48,623.44,612.76,618.34,238419
"2015-02-26",633.3,646.52,633.3,644.97,231532
"2015-03-05",655.85,657.88,646.85,650.97,345216
"2015-03-12",647.39,656.39,645.52,652.76,238964
"2015-03-19",667.75,672.47,661.51,667.39,178389
"2015-03-26",661.11,662.5,652.19,662.04,212148
"2015-04-02",691.86,696,684.82,689.11,339626
"2015-04-09",696.56,699.64,690.82,695.77,252066
"2015-04-16",690,694.3,686.12,692.4,304766
"2015-04-23",695,703.11,695,702.33,412544
"2015-04-30",682.63,684.48,671.36,672.66,414849
"2015-05-07",678,683,675.03,677.48,208071
"2015-05-14",683.54,687.31,678.59,682.13,360012
"2015-05-21",685,692.4,682.03,691.91,272713
"2015-05-28",681.15,687.42,676.89,679.51,339527
"2015-06-04",679.92,681.81,675.36,678.18,282551
"2015-06-11",684.79,687.58,682.42,684.84,156649
"2015-06-18",675.76,686.46,674.6,684.23,300435
"2015-06-25",680.93,684.7,678.58,680.31,161597
"2015-07-02",675.7,675.7,667.58,671.69,138320
"2015-07-09",673,675,668.34,670.36,186693
"2015-07-16",684.89,685,678.09,680.72,165646
"2015-07-23",680.03,684.6,676.49,681.29,160695
"2015-07-30",693.54,696.14,688.37,695.03,146363
"2015-08-06",712,712,695.65,697.11,170838
"2015-08-13",721,747.47,713.67,739.07,350609
"2015-08-20",746.45,749.68,737.92,738.29,206713
"2015-08-27",723.97,737.38,713.26,724.78,635716
"2015-09-03",731.22,738.74,727.62,729.81,212619
"2015-09-10",720.5,727.04,719.22,720.93,243736
"2015-09-17",734.67,747,732.25,734.62,207448
"2015-09-24",741.24,748.56,740,746.53,341493
"2015-10-01",732.81,738.06,715.92,736.35,334267
"2015-10-08",739.89,740.98,730.94,735.31,261763
"2015-10-15",730.03,738.48,727.71,737.43,276174
"2015-10-22",750,761.91,747.22,761.59,353453
"2015-10-29",779.56,787.9,776.96,783.23,307301
"2015-11-05",789.25,797.97,788.14,795.39,193692
"2015-11-12",777,783.99,774.27,775.21,309772
"2015-11-19",783,786.19,777.17,779.06,155810
"2015-12-03",770.37,770.9,753.08,757.37,275887
"2015-12-10",786.09,786.3,775.64,777.69,217782
"2015-12-17",762.73,763.5,753.3,755.31,246098
"2015-12-24",743.85,744.3,734.55,740.56,114934
"2015-12-31",747.98,751.5,741.84,741.91,138010
"2016-01-07",720.29,740.48,711.07,735.96,313823
"2016-01-14",702.82,718.2,699.37,712.61,262449
"2016-01-21",713.1,724.82,710.1,717.73,281159
"2016-01-28",751.74,753.8,741.16,747.55,333762
"2016-02-04",748.04,750.32,734.3,747.87,511675
"2016-02-11",698.99,720.84,692.76,712.75,570767
"2016-02-18",750,756.08,746.54,748.51,382531
"2016-02-25",780,785.71,772.26,785.15,247529
"2016-03-03",776.13,785.16,772.82,782.49,238918
"2016-03-10",779.32,790.69,770.83,788.36,327699
"2016-03-17",792.31,792.31,775.19,784.71,320051
"2016-03-24",803.48,810,798.5,803.06,249636
"2016-03-31",804.53,804.53,793.65,796.69,269743
"2016-04-07",787.19,790,781,785.13,274478
"2016-04-14",776.33,785.11,775.66,778.14,177966
"2016-04-21",777.05,778.65,765.69,766.55,210166
"2016-04-28",775,775,765.85,767.47,228596
"2016-05-05",782.6,783.6,772.49,774.04,213655
"2016-05-12",775.01,783.33,771.95,780.81,219446
"2016-05-19",745,758.97,742.63,756.52,420340
"2016-05-26",766.45,776.33,764.74,767.38,333315
"2016-06-02",760.76,770.44,756.58,768.59,295633
"2016-06-09",761.19,765.5,755.25,760.07,256373
"2016-06-16",745.35,751.42,741.58,751.31,410536
"2016-06-23",760.44,763.85,756.8,762.77,173229
"2016-06-30",792.99,797.04,786.17,793.84,327059
"2016-07-07",804.84,809.06,797.69,799.66,204083
"2016-07-14",806.29,807.89,798.3,805.18,155795
"2016-07-21",798.89,799.46,790.33,792.63,102039
"2016-07-28",791.45,818,791.45,815.98,303342
"2016-08-04",802.72,809.99,802.72,808.24,85929
"2016-08-11",806.68,813.48,798.96,801.24,206293
"2016-08-18",787.31,792.34,783.47,788.36,169007
"2016-08-25",773.43,779.82,772.41,773.05,235197
"2016-09-01",744.23,748.47,742.5,744.77,310160
"2016-09-08",729.9,730.65,726.07,729.38,317670
"2016-09-15",737.56,740.53,732.09,739.11,300851
