"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume"
"2011-09-15",99.09,99.68,98.14,99.4,2136707
"2011-09-22",94.44,95.94,93.24,94.54,1883968
"2011-09-29",96.32,97.14,91.84,94.46,1692102
"2011-10-06",98.26,100,97.23,99.41,3047196
"2011-10-13",98.46,102.31,98.11,101.32,2194752
"2011-10-20",102.76,104.25,99.08,101.67,1608253
"2011-10-27",118.5,118.7,114.87,117.74,3484088
"2011-11-03",114.29,114.86,113.2,114.05,2775554
"2011-11-10",112.38,113.07,111.24,112.08,1587303
"2011-11-17",109.85,111.01,108.45,109.63,1680163
"2011-12-01",114.95,116.5,114.19,116.48,1326532
"2011-12-08",111.32,111.9,109.52,109.71,855776
"2011-12-15",110.22,110.65,109.05,109.73,1321712
"2011-12-22",111.33,111.93,110.04,110.69,876428
"2011-12-29",110.19,110.76,109.22,110.64,1100433
"2012-01-05",113.75,115.95,113.25,115.26,2312299
"2012-01-12",115.72,116.41,114.87,116.3,1817010
"2012-01-19",116.83,117.53,116.27,116.78,1694444
"2012-01-26",118.91,118.98,117.23,117.85,1652076
"2012-02-02",121.15,123.23,120.53,121.26,1512513
"2012-02-09",120.04,120.04,116.63,117.78,2101132
"2012-02-16",119.08,120.43,118.54,119.17,934160
"2012-02-23",116.23,117.9,115.9,116.7,836841
"2012-03-01",116.01,118.92,116.01,118.71,1237033
"2012-03-08",117.13,120.8,117.06,120.42,1782133
"2012-03-15",120.5,121.48,120.03,121.05,1095475
"2012-03-22",119.71,120.96,119,120.71,711485
"2012-03-29",125.01,126.72,125.01,126.48,946756
"2012-04-05",127.14,128.82,126.72,128.62,862044
"2012-04-12",125.37,126.19,124.69,125.5,907392
"2012-04-19",126.4,128.73,125.78,125.95,978775
"2012-04-26",129.44,130.92,128.99,130.8,1018976
"2012-05-03",135.52,135.84,133.59,134.26,1270178
"2012-05-10",133.36,134.74,132.89,134.31,880931
"2012-05-17",136.93,137.7,132.87,132.88,1519544
"2012-05-24",131.08,132.62,130.83,131.65,1069529
"2012-05-31",130.48,131.43,129.48,130.75,1449699
"2012-06-07",134.61,135.38,133.19,133.34,1261930
"2012-06-14",134.67,139.21,134.38,138.66,1597286
"2012-06-21",143.17,143.48,138.99,139.2,1368676
"2012-06-28",142.01,142.33,138.26,140.11,1119544
"2012-07-05",144.72,145.41,143.98,144.12,780992
"2012-07-12",141.27,142.85,139.72,142.63,1345166
"2012-07-19",144.86,144.86,142.74,143.74,881731
"2012-07-26",144.44,148.31,144.17,147.75,1429951
"2012-08-02",142.88,144.61,141.88,143.8,1115593
"2012-08-09",144.86,145.33,142.72,143.09,1209798
"2012-08-16",147.4,147.75,145.85,146.84,465239
"2012-08-23",144.67,145.67,144.13,145.15,519521
"2012-08-30",145.36,146.32,145,145.95,588495
"2012-09-06",147.77,152.75,147.77,152.19,1187454
"2012-09-13",151.85,153.38,151.29,152.5,926962
"2012-09-20",156.02,156.56,153.87,156.06,1174464
"2012-09-27",152.13,153.09,150.26,150.71,1743707
"2012-10-04",153.01,154.56,152.1,152.57,995726
"2012-10-11",148.61,149.47,146.99,147.1,1023097
"2012-10-18",152,152.49,148.35,149.56,2018378
"2012-10-25",145,146.45,144.14,144.43,1381362
"2012-11-01",139.3,140.54,138.21,139.03,1165209
"2012-11-08",137.77,138.12,135.48,135.61,1526296
"2012-11-15",136.44,138.37,135.58,137.93,1312386
"2012-11-29",150,151.5,149.5,150.3,740485
"2012-12-06",150.74,151.92,150.55,151.73,609952
"2012-12-13",152.61,153.74,150.79,151.56,672161
"2012-12-20",151.22,151.95,150.57,151.21,732910
"2012-12-27",148.39,149.5,146.33,147.76,1072692
"2013-01-03",142.25,149,141.73,147.86,5816696
"2013-01-10",144.41,144.8,141.48,143.91,2119547
"2013-01-17",143,144.18,142.53,143.72,1499660
"2013-01-24",144.98,146.57,144.81,146.41,2116062
"2013-01-31",154.5,156.87,154.04,156.08,1337073
"2013-02-07",161.54,162.03,158.75,160.3,1193168
"2013-02-14",165.67,165.77,163.45,164.59,1203561
"2013-02-21",164.8,165.47,161.97,162.6,1162498
"2013-02-28",165.6,168.69,164.62,166.34,1212147
"2013-03-07",172.44,173,171,171.47,968849
"2013-03-14",176.2,177.91,175.91,176.78,1041776
"2013-03-21",177.28,178.33,176.18,176.55,1047714
"2013-03-28",186.6,192.92,186.36,192.62,3996008
"2013-04-04",197.76,198.87,194.48,195.68,1199370
"2013-04-11",198.94,201,197.18,200.26,884832
"2013-04-18",204.18,204.18,197.92,198.66,978891
"2013-04-25",212.23,217.67,212.1,216,1984793
"2013-05-02",214.68,219.08,213.26,217.3,1124451
"2013-05-09",210.4,212.04,208.5,209.28,1027522
"2013-05-16",226.68,228.84,223.11,227.99,1592661
"2013-05-23",230.25,235.1,226.01,232.62,1231116
"2013-05-30",235.82,241.12,233.12,238.89,1267994
"2013-06-06",214.35,221.35,212.87,221.19,1612129
"2013-06-13",205.86,210.87,204.56,209.58,2011599
"2013-06-20",201.6,202.97,197.7,199.58,1937125
"2013-06-27",209.8,212.98,207.82,208.81,1400650
"2013-07-11",222.61,226,220.83,223.3,1260874
"2013-07-18",225.33,226.99,222.62,223.12,813615
"2013-07-25",233.53,233.97,222.2,227.48,2394407
"2013-08-01",218.82,221.58,218.03,220.2,1126054
"2013-08-08",219.7,220,215.87,216.89,807767
"2013-08-15",209.41,209.86,205.73,206.53,814902
"2013-08-22",208.35,212.77,208.01,211.48,612520
"2013-08-29",209.19,217.07,209.03,214.13,859661
"2013-09-05",229.81,231.72,226.02,227.7,1074956
"2013-09-12",236.77,238.5,233.08,234.11,1112213
"2013-09-19",247.03,248.95,244.62,247.98,1396022
"2013-09-26",241.94,245.88,241.48,243.05,989340
"2013-10-03",244.71,245.98,233.5,233.84,1683012
"2013-10-10",228.26,234.85,227.5,234.17,1185707
"2013-10-17",241.02,247.46,240.05,247.1,932712
"2013-10-24",251.99,252.99,248.37,249.22,1035031
"2013-10-31",249.23,251,244.17,244.19,1176113
"2013-11-07",239.72,242.89,230.53,231.19,1444991
"2013-11-14",236.5,240.84,236.5,237.58,680886
"2013-11-21",247.3,253.22,245.31,252.43,1399465
"2013-12-05",284.95,288.73,282.12,284.92,1159324
"2013-12-12",278.2,283.83,277.22,277.87,993646
"2013-12-19",278.88,280.43,275.17,277.21,956763
"2013-12-26",280.81,282.22,279.07,281.34,620590
"2014-01-02",279.44,282.52,276.21,280.33,902226
"2014-01-09",292.05,297,288,289.75,1318682
"2014-01-16",297.27,299.13,291.75,294,1052571
"2014-01-23",307.23,315.38,305.48,314.96,1578784
"2014-01-30",310.72,321.25,310,318.28,1813413
"2014-02-06",301.88,307.35,300.67,301.01,1384814
"2014-02-13",316.81,329.45,315,328.62,1311440
"2014-02-20",330.33,335.88,323.31,335.11,1317168
"2014-02-27",342.5,348.39,340.77,343.86,1149804
"2014-03-06",346.86,353,334.01,340.69,2233579
"2014-03-13",341.04,342.59,329.03,332.05,1064992
"2014-03-20",348.27,353.2,344.72,347.04,1369100
"2014-03-27",306.64,312.9,296.65,309.76,2022085
"2014-04-03",307.99,308.99,296.23,301.86,2008112
"2014-04-10",300.1,300.91,284.57,287.35,2636183
"2014-04-17",291,296,289.76,290.54,1283744
"2014-04-24",307,308.72,286.48,294.84,2385364
"2014-05-01",287.11,291.99,283.3,286.75,1312842
"2014-05-08",286,291.28,281.82,282.96,1230205
"2014-05-15",295.63,297.97,286,289.53,1311054
"2014-05-22",293.57,303.17,292.58,299.69,1092439
"2014-05-29",314.86,319.94,314.54,319.85,1769555
"2014-06-05",320.17,321.2,315.82,320.13,1119505
"2014-06-12",310.72,314.07,308.1,309.78,802795
"2014-06-19",310.67,313.53,308.45,311.98,1034525
"2014-06-26",315.68,319.88,312.87,318.63,1027515
"2014-07-03",330.8,332.93,328.23,331.15,700640
"2014-07-10",317.1,321.41,315,319.12,825274
"2014-07-17",301.85,307.99,298.31,299.29,1653248
"2014-07-24",337.6,339.83,335.22,336.79,1599871
"2014-07-31",342.72,342.86,333.34,334.39,1168973
"2014-08-07",326,327.36,319.8,320.6,872695
"2014-08-14",335.05,338.51,333.66,337.01,1319175
"2014-08-21",342.73,344.42,337.19,338.65,663651
"2014-08-28",341.14,343.83,339.52,341.24,644897
"2014-09-04",344.37,344.44,333.78,334.83,830178
"2014-09-11",330.41,332.81,324.74,327.11,925506
"2014-09-18",328.86,330.3,325.36,329.99,637122
"2014-09-25",344.05,345.65,333.06,333.4,1559997
"2014-10-02",322.6,324.45,317.53,319.84,1116330
"2014-10-09",323.35,325.34,317.74,319.19,1143201
"2014-10-16",299.91,309,296.55,302.74,1384361
"2014-10-23",314,319.35,311,316.06,2127870
"2014-10-30",315.09,323.72,313.91,321,1084443
"2014-11-06",320.86,324.3,320.27,323.47,1376980
"2014-11-13",322.25,322.25,314.33,317.98,1126189
"2014-11-20",300.1,303.98,297.83,299.1,1772390
"2014-12-04",345.88,350.89,337.54,341.18,2538444
"2014-12-11",344.87,351.38,341.86,342.33,1471758
"2014-12-18",339.36,353.7,337.71,353.7,2401811
"2015-01-08",359.42,360,341.71,350.25,4286905
"2015-01-15",350.04,354.55,339.66,339.88,1667792
"2015-01-22",364,364,349.49,353.65,2322866
"2015-01-29",351.53,354.61,345.76,353.25,1707791
"2015-02-05",393.7,402.4,390.11,401.79,1576240
"2015-02-12",394.69,395,386.14,392.11,1755141
"2015-02-19",401.04,408.24,400.56,406.73,1144305
"2015-02-26",408.82,411.77,406.06,410.1,863782
"2015-03-05",417.42,425.7,417.09,425.61,1847295
"2015-03-12",411.49,411.49,406.02,407.64,1553494
"2015-03-19",434.8,439.9,431.33,433.65,2471896
"2015-03-26",427.8,432.88,420.41,428.93,3354325
"2015-04-02",415.4,416.48,410.64,412.44,1701777
"2015-04-09",424.6,431.78,419.48,426.63,1341609
"2015-04-16",428.14,432.88,428,428.65,1109018
"2015-04-23",423,431.84,421,430.28,1938171
"2015-04-30",380.89,383.83,368.88,373.93,2685872
"2015-05-07",384,388.07,380.61,383.29,1298083
"2015-05-14",392.98,395.11,387.36,394.35,1613094
"2015-05-21",400.24,401.65,397.97,401.15,858982
"2015-05-28",402.3,403.85,399.1,400.1,789137
"2015-06-04",385.5,387.54,382.54,384.34,1527580
"2015-06-11",390.6,395.15,390.16,393.54,1323308
"2015-06-18",393.47,404.9,393.4,401.55,1677369
"2015-06-25",412.92,417.68,410.06,411.29,902791
"2015-07-02",407.29,407.98,403.15,404.28,929142
"2015-07-09",403.56,404.36,399.29,399.29,1325282
"2015-07-16",402.72,407.31,402.05,403.73,1335511
"2015-07-23",394.17,396.23,384.51,385.05,2602459
"2015-07-30",312.54,319.42,310.52,317,2303854
"2015-08-06",336.67,337.5,315.3,316.6,3829962
"2015-08-13",316.97,319.48,313.75,313.91,1316320
"2015-08-20",314.78,316.9,309.21,309.9,1901954
"2015-08-27",301.37,308.5,299.36,304.49,2462999
"2015-09-03",306.47,309.72,300.84,301.63,1774361
"2015-09-10",302.91,315.78,302.11,312.62,2181569
"2015-09-17",321.19,330.54,318.38,325.3,2575310
"2015-09-24",295.58,298.15,287.12,293.01,2651049
"2015-10-01",291.99,292.89,282.45,287.3,2861050
"2015-10-08",278.33,281.5,272.28,279.88,2555406
"2015-10-15",256.31,268.53,254,268.41,2747437
"2015-10-22",276.33,283.48,270.07,276.83,4448309
"2015-10-29",294.3,299.41,290.77,293.72,3584576
"2015-11-05",294.15,295.01,288.5,293.03,2258363
"2015-11-12",292.5,297.28,290.91,291.33,1443382
"2015-11-19",292,292.5,286.53,289.44,1623333
"2015-12-03",284.22,285.58,274.23,275.44,1902741
"2015-12-10",285.36,291.22,284.68,289.88,1422778
"2015-12-17",299.04,300.87,296.38,297.17,1705316
"2015-12-24",300.29,303.87,299.5,302.29,540042
"2015-12-31",306.1,309.33,306.1,306.35,1063813
"2016-01-07",286.52,289.99,283.03,284.01,1844924
"2016-01-14",268.57,283.3,265.37,280.57,2391624
"2016-01-21",269.67,271.05,261.02,262.08,2529372
"2016-01-28",275.77,276.97,261.7,265.96,3054897
"2016-02-04",270.16,279.38,269.11,273.27,2067468
"2016-02-11",246.31,250.02,243.03,245.11,2162138
"2016-02-18",266.6,266.96,258.51,259.05,1522445
"2016-02-25",261.9,262.84,259.16,262.35,1516035
"2016-03-03",272.22,272.82,266.14,268.64,1430850
"2016-03-10",257,260.57,251,251.97,1962117
"2016-03-17",250,250.03,242.25,246.31,1892082
"2016-03-24",253.79,257.54,251.13,254.69,1056746
"2016-03-31",255.07,261.4,254.19,260.32,1541958
"2016-04-07",278.03,280.7,271.15,273.04,1968116
"2016-04-14",270.71,272,269.07,270.56,905376
"2016-04-21",268.84,280.13,268.84,279.6,3145536
"2016-04-28",278,284.05,277.51,281.08,1403256
"2016-05-05",263.58,265.4,262.63,264.62,1104781
"2016-05-12",268.25,270.55,259.59,262.71,1295565
"2016-05-19",262.8,264.7,256.42,258.72,1277733
"2016-05-26",279.53,284.28,279.09,282,1805865
"2016-06-02",286.88,289.91,286.56,289.73,1128675
"2016-06-09",253.14,256.19,249.57,250.46,2860184
"2016-06-16",236.91,243.34,236.54,242.19,1995519
"2016-06-23",237.18,238.79,235.76,238.62,1402996
"2016-06-30",239.31,241.9,236.67,241.82,2093220
"2016-07-07",247.24,249.66,245.22,247.27,1140351
"2016-07-14",253.3,253.8,250.02,252.87,1295371
"2016-07-21",279.76,282.54,274.23,282.45,5548039
"2016-07-28",288.61,289.98,285.07,289.03,1454493
"2016-08-04",320.15,320.45,314.01,314.56,2002341
"2016-08-11",309.47,316.25,309.42,314.49,1771130
"2016-08-18",313.57,313.76,312,313.38,878954
"2016-08-25",309.03,311.97,301.02,306.85,1669761
"2016-09-01",307.96,309.25,305.02,306.03,1068034
"2016-09-08",311.35,312.44,307.42,307.73,1482300
"2016-09-15",300,304.46,298.01,302.82,1276546
