"","FB.Open","FB.High","FB.Low","FB.Close","FB.Volume"
"2012-05-17",,,,38,0
"2012-05-24",32.95,33.21,31.77,33.03,50275879
"2012-05-31",28.54,29.67,26.83,29.6,111639200
"2012-06-07",27,27.35,26.15,26.31,26167757
"2012-06-14",27.65,28.32,27.38,28.29,16854124
"2012-06-21",31.67,32.5,31.51,31.84,21875228
"2012-06-28",31.96,32.19,30.9,31.36,17713292
"2012-07-05",31.32,31.62,31.02,31.47,10036688
"2012-07-12",30.7,31.4,30.6,30.81,11306636
"2012-07-19",29.41,29.5,28.63,29,13685031
"2012-07-26",27.75,28.23,26.73,26.84,64597378
"2012-08-02",20.77,20.84,19.82,20.04,56374436
"2012-08-09",20.75,21.17,20.61,21.01,15618515
"2012-08-16",20.44,20.48,19.69,19.87,157554938
"2012-08-23",19.5,19.73,19.36,19.44,32813310
"2012-08-30",19.27,19.45,19.06,19.09,30647472
"2012-09-06",18.74,19.26,18.72,18.96,46066347
"2012-09-13",20.96,21.48,20.61,20.71,65041524
"2012-09-20",23.02,23.24,22.54,22.59,57248663
"2012-09-27",20.99,21,20.16,20.32,30215821
"2012-10-04",22.32,22.4,21.41,21.95,46894595
"2012-10-11",19.88,19.96,19.61,19.75,21817227
"2012-10-18",19.7,19.79,18.89,18.98,52157366
"2012-10-25",23.29,23.31,22.47,22.56,76141922
"2012-11-01",21.08,21.44,21.01,21.21,37713887
"2012-11-08",20.52,20.73,19.98,19.99,34254535
"2012-11-15",22.34,22.5,21.65,22.17,78857405
"2012-11-29",26.5,27.52,26.16,27.32,88759067
"2012-12-06",27.68,27.75,26.82,26.97,46001493
"2012-12-13",27.59,28.75,27.43,28.24,81051549
"2012-12-20",27.49,27.6,27.13,27.36,35574784
"2012-12-27",26.55,26.8,25.52,26.05,43481682
"2013-01-03",27.88,28.47,27.59,27.77,63140530
"2013-01-10",30.6,31.45,30.28,31.3,95316372
"2013-01-17",30.08,30.42,30.03,30.14,40256606
"2013-01-24",31.27,31.49,30.81,31.08,43845049
"2013-01-31",29.15,31.47,28.74,30.98,190743612
"2013-02-07",29.11,29.15,28.27,28.65,34540014
"2013-02-14",28.02,28.63,28.01,28.5,35618411
"2013-02-21",28.28,28.55,27.15,27.28,49647671
"2013-02-28",26.84,27.3,26.34,27.25,83027721
"2013-03-07",27.57,28.68,27.47,28.58,74540116
"2013-03-14",27.1,27.43,26.83,27.04,27646381
"2013-03-21",25.66,26.11,25.56,25.74,24336012
"2013-03-28",26.09,26.17,25.52,25.58,28585612
"2013-04-04",26.62,27.23,26.11,27.07,82016745
"2013-04-11",27.48,28.1,27.25,28.02,33368462
"2013-04-18",26.82,26.82,25.15,25.69,39058905
"2013-04-25",26.07,26.4,26,26.14,17149965
"2013-05-02",28.01,29.02,27.98,28.97,104256921
"2013-05-09",27.08,27.55,26.85,27.04,33457150
"2013-05-16",26.48,26.55,25.9,26.13,35506976
"2013-05-23",24.8,25.53,24.77,25.06,37697202
"2013-05-30",24.13,24.78,23.93,24.55,60733122
"2013-06-06",22.99,23.09,22.67,22.97,31260660
"2013-06-13",23.72,23.83,23.26,23.73,31189247
"2013-06-20",24.28,24.74,23.65,23.9,42765586
"2013-06-27",24.24,24.84,24.21,24.66,34694013
"2013-07-11",25.96,26,25.45,25.81,26777354
"2013-07-18",26.75,26.77,26.12,26.18,24806825
"2013-07-25",33.54,34.88,32.75,34.36,365935212
"2013-08-01",37.3,38.29,36.92,37.49,106066472
"2013-08-08",39.13,39.19,38.43,38.54,41300906
"2013-08-15",36.36,37.07,36.02,36.56,56521095
"2013-08-22",38.37,38.75,38.34,38.55,21931163
"2013-08-29",40.89,41.78,40.8,41.28,58303395
"2013-09-05",41.79,42.76,41.77,42.66,50035380
"2013-09-12",45.53,45.62,44.65,44.75,68072239
"2013-09-19",45.51,46.05,45.23,45.98,63972369
"2013-09-26",50.01,50.6,49.5,50.39,98220046
"2013-10-03",50.47,50.72,49.06,49.18,82045323
"2013-10-10",47.86,49.68,47.83,49.05,99773784
"2013-10-17",51.12,52.22,50.95,52.21,71521899
"2013-10-24",52.38,52.84,51.59,52.44,46775185
"2013-10-31",47.16,52,46.5,50.2,248809006
"2013-11-07",49.24,49.87,47.3,47.56,97127618
"2013-11-14",48.7,49.57,48.03,48.99,75117049
"2013-11-21",46.99,47.46,46.68,46.7,34886170
"2013-12-05",48.15,48.7,47.87,48.34,43855036
"2013-12-12",51.03,52.07,50.66,51.83,92723034
"2013-12-19",54.34,55.19,53.95,55.05,89825393
"2013-12-26",58.32,58.38,57.37,57.73,55101367
"2014-01-02",54.83,55.22,54.19,54.71,43257622
"2014-01-09",58.65,58.96,56.65,57.22,92349222
"2014-01-16",57.26,58.02,56.83,57.19,34599775
"2014-01-23",56.37,56.68,55.69,56.63,47996403
"2014-01-30",62.12,62.5,60.46,61.08,150438699
"2014-02-06",61.46,62.78,61.46,62.16,42153754
"2014-02-13",64.18,67.33,64.05,67.33,62013396
"2014-02-20",67.73,70.11,65.73,69.63,131043748
"2014-02-27",69.34,70.01,68.87,68.94,41695855
"2014-03-06",71.88,71.89,70.25,70.84,46126260
"2014-03-13",71.29,71.35,68.15,68.83,57091157
"2014-03-20",68.01,68.23,66.82,66.97,44438500
"2014-03-27",60.51,61.9,57.98,60.97,112649694
"2014-04-03",62.55,63.17,59.13,59.49,83859330
"2014-04-10",63.08,63.18,58.68,59.16,114987616
"2014-04-17",59.3,60.58,58.72,58.94,88040346
"2014-04-24",63.6,63.65,59.77,60.87,138769345
"2014-05-01",60.43,62.28,60.21,61.15,82428606
"2014-05-08",57.23,58.82,56.5,56.76,61251053
"2014-05-15",59.26,59.38,57.52,57.92,56813940
"2014-05-22",60.94,61.48,60.4,60.52,54200116
"2014-05-29",63.84,64.3,63.51,63.83,42699670
"2014-06-05",63.66,64.36,62.82,63.19,47352368
"2014-06-12",65.85,66.47,64.06,64.29,55729828
"2014-06-19",65.46,65.58,64.21,64.34,34245182
"2014-06-26",68,68,66.9,67.13,47713944
"2014-07-03",66.86,67,65.76,66.29,25203215
"2014-07-10",63.31,65.34,63.05,64.87,44421915
"2014-07-17",67.03,67.85,66.04,66.41,38188432
"2014-07-24",75.96,76.74,74.51,74.98,124167936
"2014-07-31",74,74.16,72.44,72.65,43991772
"2014-08-07",73,74,72.7,73.17,38140550
"2014-08-14",73.97,74.38,73.69,74.3,22207019
"2014-08-21",74.92,75.19,74.41,74.57,20101979
"2014-08-28",74,74.43,73.73,73.86,21946738
"2014-09-04",75.89,76.93,75.53,75.95,26676444
"2014-09-11",77.13,78.36,77.05,77.92,32247724
"2014-09-18",76.77,77.33,76.52,77,23030936
"2014-09-25",78.6,78.94,77.13,77.22,37532580
"2014-10-02",76.57,77.48,75.64,77.08,36487612
"2014-10-09",77.28,77.76,75.85,75.91,32487174
"2014-10-16",70.79,73.35,70.58,72.63,53529459
"2014-10-23",79.38,80.63,79.01,80.04,35055800
"2014-10-30",75.05,75.35,72.9,74.11,83269554
"2014-11-06",74.89,75.6,74.31,75.26,21383194
"2014-11-13",74.74,75.24,73.64,74.25,26448451
"2014-11-20",72.8,73.99,72.51,73.6,19154862
"2014-12-04",74.83,75.55,74.66,75.24,14390520
"2014-12-11",76.52,78.52,76.48,77.73,33492661
"2014-12-18",76.89,78.4,76.51,78.4,34222081
"2015-01-08",76.74,78.23,76.08,78.18,23960953
"2015-01-15",76.4,76.57,73.54,74.05,34133974
"2015-01-22",77.17,77.75,76.68,77.65,19519458
"2015-01-29",76.85,78.02,74.21,78,61293468
"2015-02-05",75.71,75.98,75.21,75.62,15062573
"2015-02-12",76.86,76.87,75.89,76.23,17234976
"2015-02-19",76.99,79.84,76.95,79.42,45851177
"2015-02-26",79.88,81.37,79.72,80.41,31111891
"2015-03-05",81.23,81.99,81.05,81.21,27825733
"2015-03-12",78.1,79.05,77.91,78.93,16093319
"2015-03-19",81.12,83,81,82.75,42099523
"2015-03-26",82.72,83.77,82.14,83.01,32794800
"2015-04-02",82.25,82.56,81.44,81.56,19664053
"2015-04-09",82.5,82.8,81.71,82.17,15927281
"2015-04-16",82.47,83.07,82.15,82.31,13769687
"2015-04-23",84.1,85.59,82.41,82.41,73728080
"2015-04-30",80.01,80.96,78.32,78.77,28999005
"2015-05-07",78,78.94,77.56,78.42,19749428
"2015-05-14",78.94,81.84,78.67,81.37,49437996
"2015-05-21",80.19,80.92,80.08,80.48,13402749
"2015-05-28",80.25,81.07,80,80.14,11982008
"2015-06-04",82.14,82.95,81.51,82.05,20863877
"2015-06-11",82.31,82.9,81.36,81.83,18656811
"2015-06-18",81.64,83.19,81.57,82.9,26782573
"2015-06-25",89.26,89.4,87.84,87.98,27301967
"2015-07-02",87.4,87.44,86.34,87.28,16908781
"2015-07-09",86.73,87.6,85.65,85.88,23307402
"2015-07-16",90.28,90.86,89.77,90.85,21804086
"2015-07-23",96.96,97.45,94.81,95.44,29418833
"2015-07-30",94.91,95.81,91.8,95.21,86211323
"2015-08-06",97.18,98.74,94.42,95.12,42271318
"2015-08-13",94.05,94.73,93.35,93.43,17451768
"2015-08-20",93.54,94.77,90.46,90.56,44219624
"2015-08-27",89.1,90.06,87.19,89.73,41778567
"2015-09-03",89.76,89.82,87.73,88.15,26882208
"2015-09-10",90.07,92.06,89.63,91.98,26333820
"2015-09-17",93.37,95.51,92.9,94.34,27679870
"2015-09-24",93.06,94.76,92.24,94.41,28943670
"2015-10-01",90.05,90.95,88.36,90.95,29070207
"2015-10-08",92.75,93.22,90.47,92.47,27213284
"2015-10-15",94.99,96.3,94.9,95.96,27475421
"2015-10-22",97.79,99.73,97.55,99.67,25517505
"2015-10-29",103.96,105.12,103.52,104.88,20099855
"2015-11-05",108.8,110.65,107.95,108.76,63013501
"2015-11-12",108.48,109.39,108,108.02,20763843
"2015-11-19",107.36,107.73,105.95,106.26,25477683
"2015-12-03",103.95,106.85,103.35,104.38,23236485
"2015-12-10",105.05,106.4,104.41,105.42,17454312
"2015-12-17",107.49,107.75,106.13,106.22,21675686
"2015-12-24",104.74,105.32,104.5,105.02,6512134
"2015-12-31",106,106.17,104.62,104.66,18391064
"2016-01-07",100.5,101.43,97.3,97.92,45172906
"2016-01-14",95.85,98.87,92.45,98.37,48488509
"2016-01-21",94.91,95.99,92.62,94.16,30468830
"2016-01-28",107.2,110.34,104.81,109.11,107084072
"2016-02-04",111.8,111.94,109.25,110.49,38648485
"2016-02-11",99.6,105.11,98.88,101.91,43493102
"2016-02-18",105.8,106,103.03,103.47,29374587
"2016-02-25",107.11,108.07,105.61,108.07,29796180
"2016-03-03",110.25,110.3,108.54,109.58,21333496
"2016-03-10",107.91,108.66,105.77,107.32,24780710
"2016-03-17",112.15,112.69,110.73,111.02,24204773
"2016-03-24",112.13,113.09,111.68,113.05,17063766
"2016-03-31",114.7,115.01,113.77,114.1,21138743
"2016-04-07",113.79,114.89,113.07,113.64,20324759
"2016-04-14",110.62,112.04,110.26,110.84,28430914
"2016-04-21",112.55,114.04,112.31,113.44,20409388
"2016-04-28",119.58,120.79,116.23,116.73,86746016
"2016-05-05",118.04,118.98,117.25,117.81,21999237
"2016-05-12",119.98,120.84,118.9,120.28,21636556
"2016-05-19",117.05,117.49,115.88,116.81,20485379
"2016-05-26",118.24,119.76,117.92,119.47,18191472
"2016-06-02",118.69,119.44,118.22,118.93,13228310
"2016-06-09",118.13,118.68,117.71,118.56,13859240
"2016-06-16",113.87,114.5,112.94,114.39,19236255
"2016-06-23",114.37,115.09,113.54,115.08,16176895
"2016-06-30",114.67,115.18,113.67,114.28,23192716
"2016-07-07",116.63,116.97,115.36,115.85,16630201
"2016-07-14",117.5,117.64,116.7,117.29,14579736
"2016-07-21",121.92,122.1,120.25,120.61,17801663
"2016-07-28",127.52,128.33,123.63,125,78955758
"2016-08-04",122.94,124.79,122.51,124.36,21065974
"2016-08-11",125.2,125.38,124.75,124.9,11729519
"2016-08-18",124.01,124.26,123.64,123.91,12400816
"2016-08-25",123.12,124.37,123.1,123.89,10730811
"2016-09-01",126.38,126.63,125.6,126.17,13536125
"2016-09-08",130.92,131.08,129.81,130.27,15676595
"2016-09-15",127.98,129.1,127.67,128.35,15111838
