"","FL.Open","FL.High","FL.Low","FL.Close","FL.Volume"
"2011-09-15",21.53,21.94,21.08,21.8,3128136
"2011-09-22",19.82,20.23,19.37,20.03,3270461
"2011-09-29",21.91,22,20.62,21.43,2036316
"2011-10-06",20.47,21.51,20.46,21.45,2511403
"2011-10-13",21.31,21.55,20.83,21.24,1911057
"2011-10-20",21.85,22.14,21.54,22.06,1796804
"2011-10-27",22.78,23.02,22.34,22.79,2694554
"2011-11-03",22.07,22.59,21.01,22.5,4887829
"2011-11-10",21.67,22.31,21.66,22.18,5027752
"2011-11-17",22.04,22.1,21.5,21.82,3750017
"2011-12-01",23.46,24.12,23.25,23.88,2075776
"2011-12-08",24.89,25,24.63,24.81,2324434
"2011-12-15",24.01,24.09,23.55,23.85,1850405
"2011-12-22",23.95,24.39,23.4,23.46,3326550
"2011-12-29",23.65,24.06,23.59,24,1290867
"2012-01-05",23.91,24.83,23.48,24.74,2859327
"2012-01-12",24.75,24.96,24.41,24.78,1232248
"2012-01-19",25.24,25.8,25.22,25.73,1468359
"2012-01-26",26.82,26.82,26.02,26.28,1425810
"2012-02-02",26.69,26.79,26.33,26.53,1265199
"2012-02-09",26.76,26.85,26.41,26.68,1219507
"2012-02-16",27.85,28.27,27.85,28.17,1428099
"2012-02-23",28.65,29.02,28.43,28.72,1355049
"2012-03-01",29.22,29.52,28.95,29.52,4567508
"2012-03-08",30.1,30.17,29.72,30.12,2708937
"2012-03-15",30.17,30.47,29.89,30.35,1454304
"2012-03-22",30.68,31.33,30.56,31.19,2372326
"2012-03-29",31.32,31.62,31.03,31.56,1692791
"2012-04-05",31.16,31.7,31.08,31.4,1179957
"2012-04-12",30.1,30.57,29.98,30.52,1763636
"2012-04-19",31.49,31.72,30.8,30.99,2211743
"2012-04-26",30.44,30.96,30.33,30.89,1083309
"2012-05-03",31.85,32.09,31.38,31.58,1422280
"2012-05-10",29.3,29.63,28.86,29.34,2134067
"2012-05-17",28.88,28.96,27.86,28.01,5258674
"2012-05-24",31.63,32.36,31.53,32.31,4498374
"2012-05-31",32.02,32.08,31.31,31.74,6245412
"2012-06-07",31.45,32.19,30.24,30.56,1854084
"2012-06-14",29.87,30.15,29.42,29.75,2320962
"2012-06-21",30,30,29.25,29.39,2314535
"2012-06-28",28.97,29.22,28.47,28.87,2090843
"2012-07-05",30.84,31.81,30.84,31.7,2190505
"2012-07-12",31.51,32.56,31.4,32.22,3918396
"2012-07-19",33.59,34,33.28,33.76,2040498
"2012-07-26",32.92,33.11,32.4,32.94,1410729
"2012-08-02",32.51,33.27,32.51,32.92,1325218
"2012-08-09",34.61,34.79,34.01,34.54,1970068
"2012-08-16",34.57,34.8,34.47,34.49,2487735
"2012-08-23",34.52,34.52,33.85,34.04,1505230
"2012-08-30",34.4,34.7,34.32,34.49,1261394
"2012-09-06",35.66,36.33,35.57,36.33,2464291
"2012-09-13",36.88,37.36,36.6,37.1,2174916
"2012-09-20",36.45,37.5,36.45,37.27,2587333
"2012-09-27",35.87,36.13,35.5,36.04,1420038
"2012-10-04",35.14,35.35,34.92,35.21,2120683
"2012-10-11",35.1,35.32,34.57,34.65,1106861
"2012-10-18",36.11,36.33,35.97,36.23,1233730
"2012-10-25",34.7,34.84,33.79,33.97,1388120
"2012-11-01",33.49,34.54,32.99,34.36,2130626
"2012-11-08",33.85,33.97,32.07,32.13,4406717
"2012-11-15",31.81,32.18,31.13,31.85,3138905
"2012-11-29",35.45,35.86,35.32,35.72,1755952
"2012-12-06",35.02,35.36,34.76,35.18,1440438
"2012-12-13",33.46,33.54,32.55,32.6,4997611
"2012-12-20",33.13,33.41,32.78,33.14,2759513
"2012-12-27",32.11,32.13,31.07,31.95,2809049
"2013-01-03",31.75,32.55,31.71,32.5,3140211
"2013-01-10",33.1,33.51,33.05,33.49,3646074
"2013-01-17",33.91,34.04,33.45,33.73,3543431
"2013-01-24",33.59,34.27,33.59,33.8,2123430
"2013-01-31",34.42,34.84,34.31,34.35,1215710
"2013-02-07",34.75,34.86,34.19,34.57,1485374
"2013-02-14",33.43,33.67,33.05,33.29,1891509
"2013-02-21",34.39,34.94,34.15,34.29,2885457
"2013-02-28",34.11,34.39,33.95,34.19,1634071
"2013-03-07",35.16,35.5,34.96,35.31,2188266
"2013-03-14",33.12,33.34,32.89,33,2308642
"2013-03-21",32.15,32.53,32.06,32.28,5061255
"2013-03-28",34.15,34.77,33.99,34.24,2795189
"2013-04-04",33.24,33.46,32.95,33.15,4124105
"2013-04-11",33.76,34.6,33.71,34.06,2481103
"2013-04-18",32.6,32.65,31.7,31.79,3005362
"2013-04-25",32.53,33.49,32.42,33.4,2646859
"2013-05-02",34.71,35.13,34.68,34.91,2204055
"2013-05-09",35.8,36.31,35.8,35.97,2004007
"2013-05-16",36.47,36.76,36.26,36.4,1350625
"2013-05-23",35.53,35.84,35.41,35.68,3677787
"2013-05-30",34.03,34.25,33.82,34.01,4058214
"2013-06-06",34.07,34.49,33.81,34.49,1600618
"2013-06-13",34.25,34.57,33.99,34.46,2461177
"2013-06-20",35.27,35.34,34.77,34.95,3065552
"2013-06-27",34.19,34.43,34.04,34.25,2416530
"2013-07-11",37.21,37.24,36.5,36.78,2115952
"2013-07-18",36.39,36.94,36.33,36.58,1324060
"2013-07-25",35.63,36.1,35.55,36.07,1583501
"2013-08-01",36.42,37.43,36.17,37.26,2308697
"2013-08-08",35.74,36.2,35.62,35.67,3087277
"2013-08-15",34.87,34.93,34.4,34.61,1596628
"2013-08-22",34.08,34.42,33.8,34.01,2807920
"2013-08-29",32.61,32.76,32.33,32.54,1946558
"2013-09-05",32.94,33.27,32.74,32.84,1810940
"2013-09-12",33.5,33.62,32.81,32.92,1393560
"2013-09-19",33.7,33.76,33.35,33.37,1407890
"2013-09-26",32.68,33.2,32.59,32.76,1502858
"2013-10-03",33.81,33.89,33.13,33.49,1452566
"2013-10-10",32.98,33.32,32.79,33.03,1468281
"2013-10-17",33.2,33.41,32.91,33.15,1162562
"2013-10-24",34.09,34.33,33.85,34.19,1467937
"2013-10-31",34.74,34.86,34.33,34.7,1367510
"2013-11-07",35.76,36.2,35.2,35.26,1903691
"2013-11-14",36.7,37.23,36.55,37.13,1561437
"2013-11-21",36.65,36.81,35.87,36.76,3344736
"2013-12-05",38.77,39.07,38.55,38.84,1141594
"2013-12-12",38.72,38.88,38.36,38.57,1349318
"2013-12-19",39.73,40.01,39.43,39.68,1518891
"2013-12-26",41.25,41.5,41.01,41.05,900230
"2014-01-02",41.36,41.52,40.59,40.78,1559184
"2014-01-09",41.41,41.41,40.74,41.05,1543817
"2014-01-16",40.28,40.28,39.36,39.49,1772127
"2014-01-23",38.48,38.48,37.91,38.21,1326504
"2014-01-30",37.99,38.86,37.89,38.76,1836488
"2014-02-06",38.02,38.91,37.85,38.35,1042415
"2014-02-13",38.78,39.34,38.71,39.21,1076988
"2014-02-20",39.45,40.11,39.41,40.06,1375723
"2014-02-27",41.81,42.1,41.51,41.83,986542
"2014-03-06",42.57,42.99,41.97,42.73,3024704
"2014-03-13",45.75,46.35,45.23,45.49,2387169
"2014-03-20",46.19,46.63,46.13,46.54,975964
"2014-03-27",45.16,45.47,44.75,45.26,1692673
"2014-04-03",48.34,48.71,47.2,47.24,1574416
"2014-04-10",46.07,46.12,44.67,44.74,1116022
"2014-04-17",45.15,45.64,45.02,45.24,1338548
"2014-04-24",45.99,46.31,45.77,46.14,969150
"2014-05-01",46.75,46.99,46.39,46.53,856011
"2014-05-08",46.84,48.25,46.8,47.16,1092261
"2014-05-15",48.62,48.62,47.71,48.36,852330
"2014-05-22",47.75,48.42,47.68,48.17,1692162
"2014-05-29",48.52,48.65,47.64,48,1575420
"2014-06-05",49.25,49.84,48.72,49.82,1221145
"2014-06-12",49.79,50.01,49.25,49.49,967405
"2014-06-19",50,50.13,49.67,49.83,1446918
"2014-06-26",49.78,49.86,49,49.32,1325072
"2014-07-03",51.5,52.07,51.47,51.74,553731
"2014-07-10",50.22,50.76,49.43,50.61,1757922
"2014-07-17",48.15,48.18,47.11,47.13,2105454
"2014-07-24",48.68,49.63,48.5,49.53,1342025
"2014-07-31",48.29,48.38,47.29,47.53,1428111
"2014-08-07",49.36,49.36,48.17,48.25,1684026
"2014-08-14",50.38,51,50.35,50.71,1296382
"2014-08-21",52.6,52.95,52.17,52.57,2442806
"2014-08-28",55.94,56.26,55.52,55.99,1168156
"2014-09-04",57.25,57.95,57.09,57.33,1472808
"2014-09-11",56.65,57.15,56.48,57.15,1008296
"2014-09-18",57.46,57.55,57.18,57.38,1645861
"2014-09-25",56.76,56.81,55.86,56.06,1597678
"2014-10-02",54.77,55.23,54.4,54.94,1635162
"2014-10-09",55.39,55.74,55.07,55.1,1894417
"2014-10-16",52.5,53.05,51.62,52.68,2946726
"2014-10-23",55.26,55.66,55.01,55.14,1379907
"2014-10-30",55.51,56.04,55.48,55.85,848350
"2014-11-06",52.94,54.51,52.86,54.47,2283916
"2014-11-13",55.75,56.23,55.2,55.67,1598387
"2014-11-20",56.5,57.18,56.27,57,3805093
"2014-12-04",57.23,57.5,56.67,57.31,1610519
"2014-12-11",56.48,57.4,56.27,56.38,1624295
"2014-12-18",57.03,57.88,56.53,57.88,2271505
"2015-01-08",57.49,57.62,56.95,57.5,2266556
"2015-01-15",53.12,53.26,51.77,52.13,3303127
"2015-01-22",52.31,53.8,52.31,53.48,2305178
"2015-01-29",54.12,54.41,53.4,54.35,1527688
"2015-02-05",54.46,55.37,54.23,54.4,2748319
"2015-02-12",53.79,54.2,53.24,54.09,1990093
"2015-02-19",54.51,55.33,54.41,55.08,2466957
"2015-02-26",55.84,56.31,55.61,55.84,1206274
"2015-03-05",57.75,57.85,56.48,57.03,3523554
"2015-03-12",61.51,61.9,61.17,61.49,1776703
"2015-03-19",61.14,62.18,61.14,62.08,1668944
"2015-03-26",61.73,61.96,61.22,61.3,1703077
"2015-04-02",62.93,63.15,62.36,62.59,1436937
"2015-04-09",62.45,62.89,62.11,62.56,1812709
"2015-04-16",60.87,61.44,60.65,60.75,1450977
"2015-04-23",60.03,60.96,60.03,60.72,1060534
"2015-04-30",59.24,60.15,59.24,59.45,1679319
"2015-05-07",61.03,61.85,60.86,61.61,1635093
"2015-05-14",61.59,61.66,60.64,61.3,1752584
"2015-05-21",63.34,64.38,63.01,64,4092392
"2015-05-28",63.35,63.67,63.07,63.13,1194196
"2015-06-04",63.17,63.58,62.84,62.91,1105798
"2015-06-11",62.61,63.16,62.43,63.16,1186930
"2015-06-18",63.18,63.92,63.18,63.73,958522
"2015-06-25",65.77,66.27,65.6,66.06,1491523
"2015-07-02",67.99,68.81,67.4,67.51,2662689
"2015-07-09",69.42,69.88,68.72,68.95,1563399
"2015-07-16",69.61,70.06,69,69.93,1023537
"2015-07-23",70.64,71.07,69.83,69.9,1291327
"2015-07-30",69.41,70.61,69.4,70.29,967298
"2015-08-06",72.45,72.72,71.08,71.31,998944
"2015-08-13",71.54,73.3,71.54,72.66,1417205
"2015-08-20",73.48,73.62,71.72,71.72,2488406
"2015-08-27",71.44,71.95,70.71,71.83,2240265
"2015-09-03",71.8,72.19,70.67,70.89,1359109
"2015-09-10",71.03,72.27,70.8,71.64,1177044
"2015-09-17",73.53,74.48,73.32,73.5,1484148
"2015-09-24",73.38,74.62,73.35,74.38,1451051
"2015-10-01",71.88,72.42,70.5,71.15,2014207
"2015-10-08",69.67,71.71,69.4,71.3,3237158
"2015-10-15",68.91,68.99,67.2,68.55,2231772
"2015-10-22",70.47,70.65,68.86,69.34,1777721
"2015-10-29",67.55,68.19,67.17,67.87,1377922
"2015-11-05",68.77,69.13,67.56,68.96,1203599
"2015-11-12",62.64,62.64,60.43,61.35,4837233
"2015-11-19",62,62,61,61.53,5062649
"2015-12-03",66.16,66.32,63.09,63.91,2713439
"2015-12-10",67.05,68.24,66.63,67.07,2767455
"2015-12-17",65.55,66.32,63.98,64.01,1741702
"2015-12-24",66.52,66.62,64.38,64.99,1199248
"2015-12-31",64.75,66.15,64.54,65.09,1728016
"2016-01-07",64.02,66.26,64,64.44,3245734
"2016-01-14",61.21,62.36,60.36,61.55,2839867
"2016-01-21",61.82,65.07,61.71,64.56,3176265
"2016-01-28",66.8,67.53,65.83,67.31,2289359
"2016-02-04",67.35,68.71,67.04,68.05,2019214
"2016-02-11",63.31,64.46,62.99,63.98,2242645
"2016-02-18",67.68,67.8,66.26,67,1960725
"2016-02-25",67.37,68,66.23,67.03,6302325
"2016-03-03",63.57,63.57,62.36,63.24,2472658
"2016-03-10",62.91,64.45,62.8,63.38,1820783
"2016-03-17",63.33,65.29,63.16,65.12,2060721
"2016-03-24",63.73,63.83,63.12,63.47,1786495
"2016-03-31",65.82,66,64.37,64.5,2906077
"2016-04-07",62.99,63.23,61.76,62.37,3743699
"2016-04-14",62.07,62.41,61.32,61.42,1889514
"2016-04-21",61.75,61.88,60.35,60.46,2182944
"2016-04-28",61.35,62.29,61.29,61.47,1306866
"2016-05-05",61.56,61.8,60.3,60.42,1830194
"2016-05-12",58.85,59.43,58.44,59.04,2301215
"2016-05-19",56.93,58.99,56.51,58.55,6268338
"2016-05-26",55.05,55.41,54.53,54.71,2196131
"2016-06-02",54.53,55.4,54.5,55.08,2782849
"2016-06-09",55.07,55.75,55,55.65,1489461
"2016-06-16",54.22,54.26,52.86,53.3,2719046
"2016-06-23",54.04,54.12,52.99,53.14,2230858
"2016-06-30",55.1,55.2,54.72,54.86,3926413
"2016-07-07",55.54,56.14,55.22,55.35,1752750
"2016-07-14",57.99,58.34,57.65,57.72,1543841
"2016-07-21",58.35,58.75,58.35,58.62,1396568
"2016-07-28",59.44,59.44,58.5,59.27,1362206
"2016-08-04",58.62,59.09,58.16,58.3,1615975
"2016-08-11",59.58,60.83,58.87,60.35,2347463
"2016-08-18",60.8,61.76,60.73,61.68,3124661
"2016-08-25",68.07,68.26,66.67,66.91,2219038
"2016-09-01",65.8,65.8,65.03,65.53,1029727
"2016-09-08",66.13,66.65,65.84,65.9,2049612
"2016-09-15",64.82,66.2,64.5,65.9,1483749
