"","FLR.Open","FLR.High","FLR.Low","FLR.Close","FLR.Volume"
"2011-09-15",59.98,60.7,59.23,60.63,1547655
"2011-09-22",51.63,51.78,47.81,49.52,4287275
"2011-09-29",50.66,51.1,48.36,49.56,2168438
"2011-10-06",49.9,51.78,49.73,51.74,2013187
"2011-10-13",54.46,55.09,53.37,54.6,1489005
"2011-10-20",52.41,53.02,51.07,52.75,1917316
"2011-10-27",59.18,60.76,58.28,59.7,3138993
"2011-11-03",57.33,58.8,56.52,58.6,2825872
"2011-11-10",54.13,54.71,53.11,53.94,2802426
"2011-11-17",54.58,54.91,52.55,52.97,1855582
"2011-12-01",54.6,55,53.91,54.41,1216746
"2011-12-08",53.24,53.47,51.5,51.72,2590196
"2011-12-15",49.29,49.67,48.12,48.27,2757614
"2011-12-22",49.38,50.69,49.21,50.46,1690781
"2011-12-29",50.03,50.65,49.9,50.32,1187735
"2012-01-05",51.59,52.43,51.25,51.96,1519408
"2012-01-12",52.91,54.35,52.61,54.19,2202729
"2012-01-19",55.52,57.09,55.5,56.63,1917357
"2012-01-26",56.93,58.53,56.74,56.97,2091110
"2012-02-02",58.05,58.3,57.77,57.97,1422651
"2012-02-09",59.33,60.44,59.26,60.22,1150219
"2012-02-16",59.63,60.6,59.29,60.3,1224051
"2012-02-23",61.55,64.67,61,63.99,5268302
"2012-03-01",60.95,61.9,60.76,61.84,2339364
"2012-03-08",59.41,60.52,59.27,60.09,1859852
"2012-03-15",62.45,62.6,61.9,62.35,1443764
"2012-03-22",59.61,59.98,58.85,59.56,1855187
"2012-03-29",59.63,60.22,59.05,60.06,1223828
"2012-04-05",59.93,60.67,59.63,59.92,1218736
"2012-04-12",57.98,59.76,57.88,59.43,1378926
"2012-04-19",59.02,59.34,57.69,57.93,1513260
"2012-04-26",58.31,58.83,57.75,58.26,1880684
"2012-05-03",57.94,57.94,56.24,56.54,2085376
"2012-05-10",55.19,56.24,54.48,54.6,3521709
"2012-05-17",51.28,51.38,50.04,50.2,2239889
"2012-05-24",50.42,50.82,49.46,50.05,1745350
"2012-05-31",48.32,48.42,46.05,46.88,4120724
"2012-06-07",49.79,50.96,49.11,49.17,2798843
"2012-06-14",47.06,47.44,46.62,47.13,1406906
"2012-06-21",48.77,48.77,46.61,46.73,1736456
"2012-06-28",46.66,48.39,46.56,48.34,2336370
"2012-07-05",49.97,50.23,49.29,49.97,1737102
"2012-07-12",45.82,46.49,45.61,46.09,2070466
"2012-07-19",49.09,49.72,48.65,49.22,1483347
"2012-07-26",48.34,49.37,48.15,49.21,1659129
"2012-08-02",49.62,50.5,48.89,49.72,1974737
"2012-08-09",54.01,54.58,53.81,54.36,1829068
"2012-08-16",53.65,54.75,53.59,54.53,1229979
"2012-08-23",53.24,53.76,52.88,53.21,979536
"2012-08-30",51.64,52.05,51.3,51.31,1194265
"2012-09-06",52.5,53.71,52.4,53.28,1591805
"2012-09-13",57.01,58.69,56.45,58.38,2091286
"2012-09-20",59.31,59.35,58.45,59.34,1714626
"2012-09-27",56.3,57.07,56.11,56.61,1232094
"2012-10-04",56.92,57.62,56.66,57.27,1722182
"2012-10-11",56.73,57.07,56.36,56.87,1500099
"2012-10-18",57.6,59.4,57.51,59.07,1262572
"2012-10-25",55.52,55.92,54.56,55.21,802631
"2012-11-01",56.19,58,55.83,57.66,2053359
"2012-11-08",53.52,53.52,51.59,51.86,2290382
"2012-11-15",51.45,52.07,51.09,51.91,2505427
"2012-11-29",53.62,53.94,53.08,53.5,1557141
"2012-12-06",53.49,55.32,53.49,55.17,2916136
"2012-12-13",57.59,57.9,56.8,56.99,1682626
"2012-12-20",59,59.55,58.53,59.53,1047119
"2012-12-27",58.11,58.36,57.27,58.2,919460
"2013-01-03",61,61.22,60.27,60.37,1387128
"2013-01-10",61.43,62.77,61.13,62.63,2862329
"2013-01-17",63.09,64.2,63.05,63.1,1177864
"2013-01-24",63.87,64.98,63.71,64.61,1012635
"2013-01-31",64.69,65.12,63.99,64.83,1731688
"2013-02-07",65.41,65.41,64.09,64.7,1045053
"2013-02-14",63.85,64.89,63.7,64.57,1277750
"2013-02-21",63.74,64.04,61.89,63.53,3061390
"2013-02-28",62.53,62.84,61.89,61.9,1609080
"2013-03-07",62.92,63.62,62.72,63.41,2141427
"2013-03-14",64,64.87,63.94,64.79,1005480
"2013-03-21",63.58,64.32,63.26,63.63,857823
"2013-03-28",65.42,66.46,65.06,66.33,1259388
"2013-04-04",62.02,62.42,61.18,61.82,1817576
"2013-04-11",62.64,63.19,62.02,62.92,1052801
"2013-04-18",55.45,55.8,54.22,54.33,2462555
"2013-04-25",56.69,57.16,56.34,56.63,1827342
"2013-05-02",56.36,57.68,56.18,57.45,1756935
"2013-05-09",62.1,62.37,61.43,61.67,1736441
"2013-05-16",61.96,62.88,61.57,62,1597889
"2013-05-23",63.87,65.33,63.25,64.93,1913508
"2013-05-30",63.75,64.27,63.12,63.89,942918
"2013-06-06",61.36,62.24,61.08,62.2,1611294
"2013-06-13",60.1,61.35,60,61.14,1611374
"2013-06-20",61.3,61.31,59.71,60.01,1927881
"2013-06-27",59.35,59.9,58.97,59.73,1326524
"2013-07-11",60.31,61.36,60.18,61.24,2093367
"2013-07-18",61.36,62.56,61.36,62.27,1130902
"2013-07-25",62.07,62.77,61.75,62.1,1315405
"2013-08-01",63.19,65.46,61.68,65.04,2593816
"2013-08-08",65.5,66.7,64.94,66.04,2553100
"2013-08-15",65.82,66.3,65.31,65.95,1402717
"2013-08-22",65.71,66.69,65.63,66.28,679083
"2013-08-29",63.89,64.46,63.77,63.9,1252503
"2013-09-05",64.06,65.14,64.05,65,776187
"2013-09-12",67.14,68.48,67,67.72,1549194
"2013-09-19",70.18,71.62,70.06,71.45,1943959
"2013-09-26",72,72.13,71.47,72.03,1068078
"2013-10-03",73.5,73.75,71.01,71.89,1428030
"2013-10-10",70.54,71.93,70.54,71.74,953590
"2013-10-17",73.74,75.82,73.74,75.55,1492834
"2013-10-24",76.5,77.14,76.3,76.88,1182758
"2013-10-31",75.17,75.22,73.8,74.22,2572322
"2013-11-07",76.99,77.55,75.55,75.67,1783908
"2013-11-14",79.37,79.47,78.44,79.35,876836
"2013-11-21",76.72,78.18,76.71,78,1088143
"2013-12-05",76.46,77.38,75.91,76.16,1056583
"2013-12-12",75.74,76.01,74.77,74.84,1536854
"2013-12-19",77.74,79.01,77.43,78.83,1628538
"2013-12-26",79.5,80.18,79.39,79.98,608147
"2014-01-02",79.82,80.2,78.79,78.87,1206471
"2014-01-09",79.51,79.98,78.32,78.8,1432007
"2014-01-16",80.35,80.62,79.35,80.44,1140765
"2014-01-23",82.88,82.88,80.91,81.09,1936517
"2014-01-30",76.82,77,76.11,76.35,1431100
"2014-02-06",74.94,76.56,74.88,76.03,876317
"2014-02-13",79.04,79.76,78.4,78.87,1527277
"2014-02-20",80.49,80.91,79.75,80.01,2450218
"2014-02-27",78.38,78.89,77.78,78.16,1410954
"2014-03-06",78.51,80.26,78.48,80.12,1426595
"2014-03-13",76.66,76.75,74.43,74.99,1683379
"2014-03-20",75.25,75.9,74.85,75.45,1266163
"2014-03-27",75.91,76.14,75.36,75.72,1178748
"2014-04-03",77.71,78.27,77.33,78.21,885619
"2014-04-10",77.34,77.55,75.93,75.94,1107990
"2014-04-17",77.51,78.29,76.9,77.87,1018709
"2014-04-24",77.99,78.04,76.72,76.92,1134928
"2014-05-01",75.57,76.4,75.07,75.54,1430464
"2014-05-08",75.64,76.47,74.81,75.28,979465
"2014-05-15",75.51,75.94,73.67,74.21,1728989
"2014-05-22",74.35,74.56,73.78,73.81,883759
"2014-05-29",75.47,75.68,74.86,75.61,919639
"2014-06-05",75.18,77.44,75.08,77.26,2006512
"2014-06-12",78.23,78.42,76.97,77.47,889983
"2014-06-19",77.4,78.25,77.04,77.35,1318966
"2014-06-26",76.53,76.73,75.56,76.42,646613
"2014-07-03",78.14,79.2,78.04,78.99,815068
"2014-07-10",76.63,78.09,76.63,77.58,884083
"2014-07-17",77.4,77.62,76.26,76.3,1005623
"2014-07-24",77.67,78.14,77.25,77.43,1178714
"2014-07-31",74.56,75.05,72.77,72.87,2007485
"2014-08-07",72.32,72.33,70.82,71.12,1205164
"2014-08-14",72.91,73.23,72.48,73.03,716661
"2014-08-21",74.23,74.6,73.59,74.11,773993
"2014-08-28",74.9,75.13,74.36,74.48,1400732
"2014-09-04",73.3,73.8,72.62,72.78,1014089
"2014-09-11",69.88,70.84,69.58,70.74,1911746
"2014-09-18",69.93,70.55,69.66,70.51,1732432
"2014-09-25",67.83,68.05,66.7,66.73,1963458
"2014-10-02",65.94,66.37,65.18,65.69,1657977
"2014-10-09",65.13,65.33,63.83,63.86,1389003
"2014-10-16",60.43,61.97,59.4,61.1,2690591
"2014-10-23",62.37,65.12,61.91,64.61,2655584
"2014-10-30",65.03,66.95,65.03,66.42,1850066
"2014-11-06",65.3,65.86,64.97,65.67,1717596
"2014-11-13",65.96,66.41,64.41,65.09,1478577
"2014-11-20",65.93,68.09,65.9,67.59,1657367
"2014-12-04",62.46,62.68,61.6,62.05,1894206
"2014-12-11",57.53,59.55,57.53,58.35,3472337
"2014-12-18",59.08,59.71,58.34,59.58,3221549
"2015-01-08",58.48,59.71,58.03,59.66,1700681
"2015-01-15",54.28,54.74,52.69,52.7,2240354
"2015-01-22",55.3,55.34,54.44,54.96,2904472
"2015-01-29",52.23,53.2,51.8,53.04,2716697
"2015-02-05",54.82,56.09,54.69,55.72,1993484
"2015-02-12",56.04,56.6,55.83,56.36,1260601
"2015-02-19",58.25,59.72,58.04,59.44,2559936
"2015-02-26",59.03,59.48,57.86,58.12,1809739
"2015-03-05",57.83,58.37,57.46,58.1,1007979
"2015-03-12",57.41,58,57.15,57.9,1074193
"2015-03-19",57.92,57.92,56.44,56.77,1603844
"2015-03-26",57.48,58.43,57.35,57.47,677604
"2015-04-02",56.67,57.91,56.41,57.59,1034763
"2015-04-09",58.77,59.5,58.44,59.14,1260732
"2015-04-16",61.2,61.25,59.9,60.12,1399979
"2015-04-23",60.18,61.07,60.03,60.56,1140061
"2015-04-30",60.92,61.27,59.96,60.14,1660998
"2015-05-07",58.63,59,58.28,58.63,1322562
"2015-05-14",60.45,60.62,59.64,59.94,1178425
"2015-05-21",58.93,59.38,58.77,58.89,761517
"2015-05-28",56.63,56.89,55.9,56.47,1010841
"2015-06-04",56.5,56.54,55.69,55.77,1737312
"2015-06-11",55.73,55.94,55.34,55.43,880820
"2015-06-18",55.55,56.08,55.16,55.74,794924
"2015-06-25",55.54,55.76,54.66,54.66,896779
"2015-07-02",53.06,53.48,52.77,52.91,865209
"2015-07-09",51.36,51.65,50.49,50.54,1290168
"2015-07-16",51.08,51.43,50.43,50.75,1256507
"2015-07-23",49.75,50.09,48.5,48.68,1735864
"2015-07-30",50.14,51.01,49.53,50.9,2392436
"2015-08-06",47.11,48.27,47.03,48.06,1882298
"2015-08-13",48.74,48.88,47.55,47.66,1277009
"2015-08-20",47.06,47.32,45.78,45.85,1710479
"2015-08-27",43.99,45.46,43.84,45.11,1943721
"2015-09-03",44.44,45.15,44.11,44.55,1163244
"2015-09-10",44.6,45.02,44.01,44.89,1293883
"2015-09-17",45.38,45.53,44.57,44.67,1508570
"2015-09-24",41.34,42.25,40.71,42.09,1590269
"2015-10-01",42.61,42.75,41.15,41.46,1778768
"2015-10-08",46.2,47.55,46.18,47.37,1183723
"2015-10-15",46.77,47.43,46.22,47.43,1312745
"2015-10-22",44.91,46.05,44.7,45.35,1103675
"2015-10-29",46.81,47.43,46.12,46.55,1686445
"2015-11-05",50,50.91,49.63,50.47,1244060
"2015-11-12",48.41,48.67,46.98,47,1860170
"2015-11-19",48.26,48.92,48.17,48.87,1302616
"2015-12-03",48.65,49.1,48,48.31,1638809
"2015-12-10",45.27,45.77,45.16,45.49,1452498
"2015-12-17",46.92,46.98,45.56,46.12,1927243
"2015-12-24",48.55,49.12,48.54,48.71,781775
"2015-12-31",47.48,47.98,47.22,47.22,842741
"2016-01-07",44.73,45.23,44.34,44.48,2169055
"2016-01-14",42.07,42.64,41.08,42.08,2694629
"2016-01-21",41.18,41.93,40.73,41.32,2355233
"2016-01-28",43.6,44.13,43.29,43.55,1420536
"2016-02-04",43.57,45.27,43.31,44.94,1704574
"2016-02-11",41.51,42.32,41.06,41.74,1991631
"2016-02-18",46.76,47.15,46.03,46.46,2174894
"2016-02-25",45.88,46.26,45.16,46.01,956238
"2016-03-03",48.81,49.29,48.34,48.89,1536081
"2016-03-10",50.26,50.44,48.93,49.84,1536912
"2016-03-17",52.79,55,52.79,54.79,2467755
"2016-03-24",53.73,54.15,53.35,54.12,1111547
"2016-03-31",54.12,54.17,53.04,53.7,2177902
"2016-04-07",51.56,51.68,50.79,51.04,1867174
"2016-04-14",53.27,53.62,52.8,52.88,1309044
"2016-04-21",53.28,53.91,53.13,53.72,1335588
"2016-04-28",55.1,55.48,54.19,54.28,1116199
"2016-05-05",54.62,55.29,54.11,54.68,1637811
"2016-05-12",51.91,52.17,51.21,51.33,1265568
"2016-05-19",49.28,49.75,48.96,49.38,1206042
"2016-05-26",52.85,53.14,52.21,52.6,1229133
"2016-06-02",51.93,52.53,51.93,52.52,902338
"2016-06-09",53.53,53.53,52.98,53.36,792974
"2016-06-16",50.22,50.88,49.7,50.77,740046
"2016-06-23",52.36,52.98,52.31,52.98,756786
"2016-06-30",48.74,49.3,48.16,49.28,1468477
"2016-07-07",49.76,50.52,49.64,50.05,1090897
"2016-07-14",53.58,53.83,53.18,53.2,684854
"2016-07-21",53.38,54.2,53.12,53.25,744856
"2016-07-28",53.72,53.99,53.32,53.7,910425
"2016-08-04",52.72,53.44,52.44,52.94,1025504
"2016-08-11",51.95,52.38,51.82,52.02,993724
"2016-08-18",51.98,52.74,51.8,52.56,941750
"2016-08-25",52.8,53.04,52.68,52.88,793234
"2016-09-01",51.9,52.43,50.98,51.53,899308
"2016-09-08",51.59,51.93,51.06,51.08,1408654
"2016-09-15",49.05,49.59,48.9,49.33,811285
