"","FOXA.Open","FOXA.High","FOXA.Low","FOXA.Close","FOXA.Volume"
"2011-09-15",16.32,16.49,16.27,16.38,33837496
"2011-09-22",15.74,16.04,15.35,15.6,38114808
"2011-09-29",16.19,16.4,15.65,15.93,23854711
"2011-10-06",15.96,15.99,15.71,15.97,20752277
"2011-10-13",16.92,17.23,16.78,17.12,13440169
"2011-10-20",16.75,17.01,16.46,16.85,22673008
"2011-10-27",17.27,17.98,17.24,17.84,36306961
"2011-11-03",17.44,17.47,16.73,16.88,48116372
"2011-11-10",16.7,16.9,16.37,16.82,16569681
"2011-11-17",16.76,16.94,16.51,16.61,22075829
"2011-12-01",17.53,17.69,17.33,17.56,16024686
"2011-12-08",17.64,17.65,17.12,17.15,17691534
"2011-12-15",17.38,17.41,17.02,17.05,17172347
"2011-12-22",17.38,17.47,17.2,17.36,12179692
"2011-12-29",17.7,17.9,17.56,17.87,16024965
"2012-01-05",18.21,18.52,18.01,18.49,18364445
"2012-01-12",18.87,18.96,18.68,18.89,12236634
"2012-01-19",19.32,19.74,19.28,19.73,19027042
"2012-01-26",18.94,18.99,18.69,18.82,22025641
"2012-02-02",19.2,19.26,18.77,18.94,15674242
"2012-02-09",19.45,19.64,19.08,19.21,33784809
"2012-02-16",18.92,19.12,18.78,19.01,20175290
"2012-02-23",19.32,19.67,19.23,19.65,14823642
"2012-03-01",19.89,20.03,19.78,19.97,15289776
"2012-03-08",19.54,19.73,19.44,19.6,9569546
"2012-03-15",20.26,20.38,20.03,20.19,21115281
"2012-03-22",19.78,19.89,19.66,19.72,11074110
"2012-03-29",19.54,19.6,19.31,19.44,22631074
"2012-04-05",19.31,19.54,19.16,19.49,17296391
"2012-04-12",18.98,19.36,18.91,19.34,14023142
"2012-04-19",19.18,19.25,18.86,18.89,19133447
"2012-04-26",19.23,19.72,19.14,19.61,17723794
"2012-05-03",19.77,19.89,19.63,19.71,12288839
"2012-05-10",20,20.62,19.98,20.32,33547403
"2012-05-17",19.69,19.79,19.46,19.46,16532353
"2012-05-24",19.19,19.52,19.12,19.38,14478688
"2012-05-31",19.36,19.45,19.12,19.2,21288164
"2012-06-07",19.6,19.74,19.24,19.29,13457662
"2012-06-14",19.56,20,19.51,19.86,19518719
"2012-06-21",20.49,20.61,20.13,20.16,12999766
"2012-06-28",22.07,22.23,21.78,21.99,42497297
"2012-07-05",22.45,22.63,22.28,22.44,15145480
"2012-07-12",21.55,21.77,21.28,21.56,17994972
"2012-07-19",22.58,22.84,22.37,22.4,13842458
"2012-07-26",22.51,22.72,22.36,22.59,12002154
"2012-08-02",22.8,23.25,22.67,23.14,16607281
"2012-08-09",23.25,24.05,23.25,23.67,30717300
"2012-08-16",23.42,23.57,23.31,23.51,12439599
"2012-08-23",23.4,23.48,23.12,23.31,12088045
"2012-08-30",23.25,23.35,23.05,23.13,8467940
"2012-09-06",23.99,24.54,23.91,24.5,23284171
"2012-09-13",24.14,24.53,24.11,24.36,19099473
"2012-09-20",24.71,25.06,24.71,25.02,12478402
"2012-09-27",24.46,24.92,24.37,24.65,11123361
"2012-10-04",24.85,25.05,24.74,25.04,13731934
"2012-10-11",24.56,24.58,24.05,24.21,21494489
"2012-10-18",25.31,25.5,25.14,25.42,11123934
"2012-10-25",24.65,24.7,23.99,24.09,12923133
"2012-11-01",24.05,24.41,23.93,24.26,14520457
"2012-11-08",24.56,24.94,24.34,24.36,16146737
"2012-11-15",23.61,23.64,22.99,23.12,24009516
"2012-11-29",24.39,24.82,24.39,24.72,15591713
"2012-12-06",24.27,24.61,24.24,24.6,10885624
"2012-12-13",24.88,24.91,24.38,24.66,22098176
"2012-12-20",25.29,25.49,25.24,25.42,16456310
"2012-12-27",24.93,25.06,24.48,24.89,12708331
"2013-01-03",26.61,26.64,26.17,26.26,15622776
"2013-01-10",26.9,27.01,26.67,26.97,19457477
"2013-01-17",27.21,27.57,27.08,27.46,20833913
"2013-01-24",27.44,27.6,27.04,27.06,37654028
"2013-01-31",27.95,28.08,27.63,27.74,14193294
"2013-02-07",27.37,28,27.34,27.56,47506916
"2013-02-14",28.23,28.68,28.22,28.49,16098706
"2013-02-21",28.61,28.61,28.16,28.25,13793140
"2013-02-28",28.75,28.97,28.68,28.8,11825731
"2013-03-07",29.85,30.07,29.77,29.95,15228341
"2013-03-14",30.54,30.66,30.42,30.65,9885555
"2013-03-21",29.85,30.05,29.68,29.86,13630925
"2013-03-28",30.19,30.66,30.18,30.51,10167148
"2013-04-04",30.65,30.73,30.32,30.41,14242589
"2013-04-11",31.32,31.69,31.24,31.58,10945938
"2013-04-18",31.15,31.15,30.35,30.44,14525392
"2013-04-25",31.36,31.39,31.11,31.2,7761122
"2013-05-02",31.25,32.2,31.1,31.88,17196257
"2013-05-09",33.07,34.04,33,33.29,29077765
"2013-05-16",33.05,33.39,32.82,32.86,15203571
"2013-05-23",33.2,33.21,32.62,32.87,13701112
"2013-05-30",32.76,32.99,32.41,32.42,13099663
"2013-06-06",31.39,31.87,30.94,31.82,24591355
"2013-06-13",30.8,31.83,30.33,31.68,23425203
"2013-06-20",31.91,32.14,31.1,31.28,23618570
"2013-06-27",32.33,33.05,32.32,32.69,25377030
"2013-07-11",30.52,30.52,29.78,29.94,18499844
"2013-07-18",30.28,31.14,30.25,31.02,14420078
"2013-07-25",30.14,30.46,30.11,30.39,8224272
"2013-08-01",30.1,30.64,30.07,30.62,14062340
"2013-08-08",31.8,33.84,31.76,32.79,28237698
"2013-08-15",32.2,32.2,31.52,31.84,9567518
"2013-08-22",31.61,33.61,31.51,32.08,5742050
"2013-08-29",31.32,31.89,31.22,31.42,9553922
"2013-09-05",31.88,32.14,31.48,31.95,6264107
"2013-09-12",32.46,32.56,32.15,32.31,9198293
"2013-09-19",32.86,32.92,32.42,32.81,8086880
"2013-09-26",32.7,33.04,32.65,33.02,5901155
"2013-10-03",33.56,33.72,33,33.15,13198300
"2013-10-10",32.55,33.02,32.32,32.87,11045055
"2013-10-17",33.83,34.42,33.74,34.32,8908886
"2013-10-24",34.91,35.23,34.78,35.18,12017650
"2013-10-31",34.07,34.45,33.96,34.08,11359305
"2013-11-07",33.89,34.1,32.64,32.8,19983055
"2013-11-14",33.8,34.36,33.59,34.13,9606321
"2013-11-21",33.18,33.51,33.09,33.26,7878948
"2013-12-05",32.87,32.98,32.56,32.74,9887814
"2013-12-12",32.41,32.82,32.25,32.66,9865655
"2013-12-19",33.37,34.07,33.32,33.97,14270316
"2013-12-26",34.77,35.04,34.56,34.98,5422410
"2014-01-02",35.47,35.75,35.27,35.63,11035482
"2014-01-09",33.97,34.09,33.19,33.5,25198643
"2014-01-16",32.61,32.74,32.38,32.47,7975736
"2014-01-23",31.87,32.02,31.56,31.74,15457198
"2014-01-30",31.06,32.35,30.92,32.02,16954404
"2014-02-06",31.28,32.95,31.25,32.15,18462199
"2014-02-13",32.47,32.82,32.21,32.24,12654978
"2014-02-20",32.93,32.93,32.58,32.67,9602415
"2014-02-27",32.7,33.12,32.68,33.04,6826711
"2014-03-06",34.08,34.65,33.93,34.34,17678720
"2014-03-13",32.7,32.87,32.01,32.11,12232759
"2014-03-20",32.67,33.01,32.54,32.75,12111732
"2014-03-27",31.98,32.22,31.57,31.67,15958913
"2014-04-03",33.75,34.15,33.46,33.74,17763197
"2014-04-10",33.13,33.24,32.27,32.43,17692892
"2014-04-17",32.15,32.69,31.99,32.52,14956007
"2014-04-24",32.85,32.95,32.57,32.88,9815398
"2014-05-01",32.08,32.71,31.9,32.47,12006260
"2014-05-08",32.99,34.58,32.85,34.22,28312008
"2014-05-15",34.22,34.28,33.28,34.02,19434935
"2014-05-22",34.5,34.76,34.37,34.53,7294727
"2014-05-29",35.15,35.51,35.09,35.51,13876199
"2014-06-05",35.61,36.11,35.37,36.09,9458189
"2014-06-12",36.01,36.06,35.29,35.41,13747218
"2014-06-19",35.5,35.63,35.14,35.37,8012311
"2014-06-26",34.78,35.27,34.52,35.15,10378194
"2014-07-03",35.74,36.21,35.58,36.21,6806165
"2014-07-10",35.46,35.9,35.22,35.71,6190876
"2014-07-17",32.99,33.31,32.68,32.77,38800581
"2014-07-24",32.68,33.01,32.62,32.92,24515963
"2014-07-31",31.89,32.27,31.67,31.67,21844625
"2014-08-07",34.51,34.92,33.69,33.96,42015244
"2014-08-14",35.29,35.81,35.29,35.76,15799342
"2014-08-21",35.67,35.85,35.48,35.73,7833107
"2014-08-28",35.63,35.81,35.57,35.6,6975848
"2014-09-04",36.27,36.56,36.1,36.13,11031869
"2014-09-11",34.83,35.82,34.83,35.3,13304994
"2014-09-18",34.64,34.94,34.62,34.91,6961049
"2014-09-25",34.42,34.6,33.73,33.74,12240362
"2014-10-02",33.65,33.82,32.52,33.41,25626286
"2014-10-09",34.04,34.2,33.04,33.11,17729249
"2014-10-16",31.16,32.72,31.01,32.5,20965063
"2014-10-23",33.72,33.72,33.17,33.54,15163956
"2014-10-30",34.16,34.61,34.06,34.56,10775358
"2014-11-06",35.21,35.31,34.69,35.31,12412001
"2014-11-13",34.66,35.05,34.66,34.99,8699753
"2014-11-20",34.78,35.11,34.52,35.06,8227956
"2014-12-04",37.15,37.79,37.11,37.63,14156271
"2014-12-11",37.82,37.82,36.93,37.12,8277464
"2014-12-18",37.53,37.82,37.33,37.75,16157668
"2015-01-08",35.47,35.92,35.32,35.68,14922813
"2015-01-15",34.99,35.2,34.47,34.59,8630488
"2015-01-22",34.1,34.65,33.83,34.56,12978108
"2015-01-29",33.66,34.06,33.18,33.86,8771893
"2015-02-05",32.8,33.15,32.54,32.8,37682118
"2015-02-12",34.94,34.99,34.2,34.41,19079602
"2015-02-19",34.65,34.87,34.46,34.8,9307787
"2015-02-26",34.78,34.89,34.55,34.82,16811302
"2015-03-05",35.26,35.26,34.86,34.87,11141221
"2015-03-12",34.37,34.65,34.24,34.58,11295725
"2015-03-19",35,35.12,34.46,34.46,11542167
"2015-03-26",33.93,34.14,33.72,33.94,12024354
"2015-04-02",33.66,34.17,33.51,34.04,8407402
"2015-04-09",34.17,34.5,34.01,34.36,9222486
"2015-04-16",33.96,34.19,33.89,34,8369309
"2015-04-23",33.88,34.57,33.85,34.34,9766828
"2015-04-30",34.5,34.7,33.87,34.08,13128640
"2015-05-07",33.35,33.36,32.34,32.78,53877863
"2015-05-14",33.13,33.34,33.04,33.33,10437378
"2015-05-21",34.48,34.83,34.48,34.61,8881031
"2015-05-28",34.06,34.09,33.76,33.96,11025585
"2015-06-04",33.33,33.73,33.2,33.57,13172322
"2015-06-11",33.01,33.19,32.53,32.9,16628515
"2015-06-18",32.8,33.09,32.68,33.02,12784208
"2015-06-25",33.03,33.26,32.94,32.96,8240346
"2015-07-02",32.66,32.9,32.33,32.36,10806143
"2015-07-09",32.52,32.75,32.44,32.48,9937740
"2015-07-16",34.18,34.27,34.05,34.25,5959717
"2015-07-23",33.55,33.65,33.04,33.23,8253050
"2015-07-30",34,34.38,33.68,34.04,21781721
"2015-08-06",29.85,30.15,27.56,29.87,94066301
"2015-08-13",30.04,30.24,29.8,30.12,19338075
"2015-08-20",29.63,29.7,28.67,28.7,24559084
"2015-08-27",27.63,28.12,27.13,27.8,27908462
"2015-09-03",27.04,27.36,26.75,26.87,13787967
"2015-09-10",25.29,26.81,25.29,26.51,12070003
"2015-09-17",26.82,27.19,26.62,26.78,18122093
"2015-09-24",26.13,26.29,25.76,25.95,18523582
"2015-10-01",27.08,27.29,26.82,27.2,21383674
"2015-10-08",28.09,28.67,27.95,28.57,12868896
"2015-10-15",28.79,29.3,28.46,29.26,11155226
"2015-10-22",29.29,29.88,29.29,29.79,10875874
"2015-10-29",30.02,30.76,29.98,30.4,12963151
"2015-11-05",29.53,29.69,29.12,29.59,19968132
"2015-11-12",29.93,30.27,29.75,30.02,9275136
"2015-11-19",30.13,30.23,29.79,29.95,9685532
"2015-12-03",29.31,29.4,28.77,29.03,13331716
"2015-12-10",27.77,28.41,27.77,28.23,10757824
"2015-12-17",27.88,28.08,27.47,27.49,12242811
"2015-12-24",27.49,27.7,27.3,27.43,4174139
"2015-12-31",27.2,27.46,27.07,27.16,7038333
"2016-01-07",26.23,26.54,25.88,25.89,15944762
"2016-01-14",26,27.08,25.86,26.56,16042576
"2016-01-21",25.73,25.96,25.39,25.52,20560576
"2016-01-28",26.79,26.92,25.97,26.13,13499380
"2016-02-04",26.62,27.01,25.95,26.08,16242338
"2016-02-11",23.85,24.92,23.85,24.68,19797122
"2016-02-18",26.39,26.55,25.95,26.4,11063432
"2016-02-25",27.48,27.48,26.86,27.38,8327349
"2016-03-03",27.64,27.86,27.48,27.84,7450164
"2016-03-10",27.25,27.84,27.2,27.45,9273768
"2016-03-17",27.84,28.54,27.79,28.18,9630811
"2016-03-24",27.58,27.84,27.55,27.75,5576036
"2016-03-31",27.98,28.04,27.8,27.88,8835832
"2016-04-07",28.21,28.81,28.21,28.55,11283313
"2016-04-14",30,30,29.64,29.85,8586945
"2016-04-21",30.01,30.62,30.01,30.33,7562763
"2016-04-28",30.69,30.98,30.4,30.7,9069384
"2016-05-05",29.37,30.1,28.92,29.84,22400160
"2016-05-12",29.51,29.63,29.02,29.08,7955693
"2016-05-19",28.09,28.16,27.68,27.92,9021098
"2016-05-26",28.9,29.19,28.75,28.76,7624534
"2016-06-02",29.33,29.6,29.26,29.55,8428069
"2016-06-09",29.34,29.4,28.98,29.32,6787725
"2016-06-16",28.85,29.32,28.54,29.13,6620659
"2016-06-23",29.15,29.33,28.99,29.2,5166312
"2016-06-30",27.13,27.27,26.86,27.05,15012081
"2016-07-07",26.71,27.06,26.63,26.93,8552717
"2016-07-14",28.18,28.34,28.04,28.12,5923666
"2016-07-21",26.93,27.32,26.77,27.18,7551194
"2016-07-28",26.72,26.86,26.57,26.76,8370640
"2016-08-04",26.04,26.45,25.25,25.59,46749866
"2016-08-11",25.66,26.27,25.63,26.16,15405248
"2016-08-18",25.44,25.52,24.99,25.08,14877159
"2016-08-25",24.72,24.87,24.51,24.57,6391321
"2016-09-01",24.61,24.63,24.42,24.54,6085629
"2016-09-08",24.4,24.77,24.37,24.75,13602689
"2016-09-15",23.63,23.9,23.44,23.84,17393193
