"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume"
"2011-09-15",27.22,27.88,27.06,27.78,4861742
"2011-09-22",25.14,25.48,24.22,24.66,10637899
"2011-09-29",24.86,25.11,23.54,24.15,13548925
"2011-10-06",23.82,24.72,23.45,24.49,5448282
"2011-10-13",25.41,25.78,25.25,25.71,4275408
"2011-10-20",25.39,25.78,25.03,25.59,4874293
"2011-10-27",27.75,29.25,27.72,28.92,8878954
"2011-11-03",27.96,28.54,27.42,28.45,4786287
"2011-11-10",28.51,28.67,28.03,28.33,4227849
"2011-11-17",27.88,28.02,27.47,27.83,7685281
"2011-12-01",28.25,28.33,27.56,27.82,4312551
"2011-12-08",28.44,28.44,27.63,27.71,4530825
"2011-12-15",27.74,27.97,27.39,27.53,4316770
"2011-12-22",28.91,29.15,28.68,28.96,2739200
"2011-12-29",29.39,29.85,29.2,29.64,2969335
"2012-01-05",30.01,30.73,29.45,30.45,4502519
"2012-01-12",31.32,31.76,31.13,31.74,4213763
"2012-01-19",32.3,32.58,32.13,32.43,3468283
"2012-01-26",31.5,31.89,31.13,31.25,4125902
"2012-02-02",31.96,32.25,31.56,31.6,4265146
"2012-02-09",31.08,31.62,30.96,31.48,3314284
"2012-02-16",33.19,33.88,32.89,33.7,5857786
"2012-02-23",32.89,33.4,32.72,32.96,3015130
"2012-03-01",35.18,35.48,34.99,35.2,4264920
"2012-03-08",35.04,35.57,34.97,35.29,4684754
"2012-03-15",35.71,36.01,35.21,35.94,6009424
"2012-03-22",35.13,35.24,34.6,35.05,3753999
"2012-03-29",34.6,35.26,34.55,35.16,3827622
"2012-04-05",35.02,35.3,34.65,34.87,3487397
"2012-04-12",32.82,33.38,32.72,33.27,5130818
"2012-04-19",33.09,33.22,32.68,32.96,3370321
"2012-04-26",33.4,33.93,33.36,33.75,5075595
"2012-05-03",33.29,33.35,32.61,32.75,3802788
"2012-05-10",31.6,31.75,31.12,31.24,4124539
"2012-05-17",30.12,30.27,28.75,28.79,8207225
"2012-05-24",29.85,30.22,29.29,29.62,5583518
"2012-05-31",29.25,29.47,28.72,29.2,4282686
"2012-06-07",29.66,30.26,29.11,29.22,5033562
"2012-06-14",28.6,28.96,28.38,28.78,3219915
"2012-06-21",29.77,29.88,28.84,28.87,2678549
"2012-06-28",28.01,28.06,27.4,27.89,4042393
"2012-07-05",29.51,29.69,29.03,29.51,2101194
"2012-07-12",29.37,30.33,29.19,30.05,5130838
"2012-07-19",32.38,32.86,31.78,32.59,6455067
"2012-07-26",32.22,33.66,32,32.44,5529635
"2012-08-02",31.92,32.33,31.49,32.04,4060785
"2012-08-09",32.51,32.98,32.23,32.69,2946721
"2012-08-16",34.38,35.12,34.31,34.88,6093292
"2012-08-23",34.6,34.6,34.03,34.17,2586074
"2012-08-30",34.7,34.71,34.27,34.36,2302530
"2012-09-06",34.74,35.67,34.74,35.55,4912034
"2012-09-13",35.17,36.36,35.03,35.76,6129471
"2012-09-20",33.85,34.8,33.71,34.7,4519506
"2012-09-27",36.13,36.64,36.12,36.55,3137782
"2012-10-04",36.39,36.65,36.26,36.49,2691083
"2012-10-11",36.98,37.33,36.79,37.24,4875894
"2012-10-18",37.48,38.28,37.48,38.15,3905839
"2012-10-25",35.79,36.07,34.83,35.26,7134382
"2012-11-01",35.82,36.97,35.57,36.93,4117463
"2012-11-08",35.07,35.07,34.14,34.48,3371780
"2012-11-15",33.77,34.29,33.54,33.65,3841322
"2012-11-29",37,37.33,36.78,37.31,3624748
"2012-12-06",36.11,36.14,35.73,35.97,2914071
"2012-12-13",37.9,38.1,37.39,37.64,5069677
"2012-12-20",38.89,39.76,38.8,39.59,4257101
"2012-12-27",39.62,39.75,39.1,39.62,2016702
"2013-01-03",40.36,40.59,39.95,40.37,3938970
"2013-01-10",40.5,40.53,39.53,40.01,3891447
"2013-01-17",40.84,42.2,40.73,41.64,4881137
"2013-01-24",42.29,42.74,42.2,42.39,2685469
"2013-01-31",41.63,41.98,41.42,41.42,2893467
"2013-02-07",42.63,42.65,41.63,42.15,2185875
"2013-02-14",41.59,42,41.55,41.8,3190324
"2013-02-21",39.87,41.75,39.47,41.31,10173076
"2013-02-28",44,44.74,43.8,44.01,4564254
"2013-03-07",46.12,46.28,45.96,46.24,2839060
"2013-03-14",45.78,46.05,45.68,45.9,2862429
"2013-03-21",45.3,45.54,44.79,44.86,2862160
"2013-03-28",45.6,46.73,45.52,46.58,5167276
"2013-04-04",46.46,46.96,46.41,46.71,3272919
"2013-04-11",48,49.1,47.95,48.23,4976101
"2013-04-18",46.22,46.26,44.72,44.95,3327650
"2013-04-25",48.56,48.75,47.48,47.58,3942785
"2013-05-02",43.87,44.75,43.19,44.27,11165489
"2013-05-09",46.92,47.19,46.62,46.92,2296212
"2013-05-16",48.59,48.91,47.22,47.42,4604704
"2013-05-23",45.77,47.41,45.71,47.18,4161568
"2013-05-30",46.88,47.27,46.61,46.83,2184575
"2013-06-06",44.31,45.02,44.28,45.02,3369956
"2013-06-13",44.6,45.7,44.07,45.61,3656214
"2013-06-20",45.09,45.37,44.09,44.26,3180025
"2013-06-27",44.36,44.63,43.87,43.9,3261383
"2013-07-11",47.1,47.64,46.92,47.56,4024097
"2013-07-18",47.8,48.33,47.74,47.87,2787376
"2013-07-25",47,50.33,46.76,50.19,9128134
"2013-08-01",48.8,49.74,48.8,49.49,3283725
"2013-08-08",48.26,48.59,47.92,47.98,2668719
"2013-08-15",48.35,48.35,47.34,47.34,3991168
"2013-08-22",46.69,46.75,46.23,46.49,3005017
"2013-08-29",46.85,48.38,46.69,47.7,3793369
"2013-09-05",47.72,48.15,47.6,47.65,1313234
"2013-09-12",49.1,49.1,48,48.13,4345416
"2013-09-19",48.17,48.62,47.8,47.82,4530467
"2013-09-26",46.71,47.58,46.71,47.29,2140908
"2013-10-03",44.64,44.64,43.67,43.86,6014157
"2013-10-10",43.93,44.35,43.45,44.28,4822185
"2013-10-17",44.85,45.46,44.85,45.28,3855017
"2013-10-24",44.77,45.96,44.45,44.98,5921302
"2013-10-31",44.48,44.99,44.39,44.61,3628427
"2013-11-07",43.65,43.82,43.07,43.1,3848855
"2013-11-14",44.62,45.21,44.4,45.1,4374038
"2013-11-21",45.28,47,45.28,46.71,6611368
"2013-12-05",45.9,46.19,45.76,46.07,2870356
"2013-12-12",46.1,46.45,45.81,46.18,2100030
"2013-12-19",49.23,49.32,48.49,48.85,4452081
"2013-12-26",49.23,49.36,49.01,49.24,1448915
"2014-01-02",48.58,49.15,48.54,48.8,2152672
"2014-01-09",49.03,49.36,48.23,49.2,3628209
"2014-01-16",48.8,49.03,48.66,48.86,1838371
"2014-01-23",47.45,47.82,47.26,47.49,4357021
"2014-01-30",47.1,47.52,46.5,47.11,2632165
"2014-02-06",46.95,47.07,46.56,46.99,2499112
"2014-02-13",48.29,49.21,48.27,49.1,2839371
"2014-02-20",48.75,49.38,48.47,49.37,4071685
"2014-02-27",48.92,49.12,48.53,48.85,3615463
"2014-03-06",48.53,48.82,48.08,48.13,2495295
"2014-03-13",47.24,47.32,46.36,46.43,4167317
"2014-03-20",45.46,45.62,45.36,45.44,5960958
"2014-03-27",44.97,45.66,44.43,45.58,4471969
"2014-04-03",46.88,46.88,46.15,46.48,3808584
"2014-04-10",46.01,46.35,45.45,45.53,3154344
"2014-04-17",45.52,45.8,45.36,45.46,2597097
"2014-04-24",46.1,46.1,45.53,46,2269135
"2014-05-01",46.52,46.63,45.87,46.03,3629216
"2014-05-08",46.5,47.08,46.35,46.52,2827188
"2014-05-15",47.09,47.5,46.54,46.84,2871763
"2014-05-22",46.32,46.61,46.14,46.58,3168560
"2014-05-29",46.8,47.04,46.66,46.85,2024363
"2014-06-05",47.48,47.99,47.22,47.85,1909475
"2014-06-12",48.02,48.34,47.91,48.07,2170125
"2014-06-19",48.75,48.96,48.67,48.82,1695008
"2014-06-26",48.7,48.88,48.51,48.75,2059393
"2014-07-03",49.81,50.3,49.8,50.05,1628687
"2014-07-10",49.31,49.85,49.18,49.78,3449186
"2014-07-17",49.63,49.75,49.32,49.43,5428769
"2014-07-24",48.17,51.98,48.15,50.65,19274926
"2014-07-31",48.02,48.03,47.3,47.5,3979174
"2014-08-07",47.74,48.08,47.29,47.36,2531975
"2014-08-14",47.16,48.07,47.16,47.83,2918499
"2014-08-21",47.05,47.71,47.05,47.62,2200291
"2014-08-28",47.92,48.36,47.66,48.25,2208693
"2014-09-04",49.11,49.43,48.85,48.87,2890014
"2014-09-11",48.26,50.43,48.17,50.36,7718917
"2014-09-18",48.65,49.06,48.61,49,2288701
"2014-09-25",48.46,48.56,47.61,47.85,3238975
"2014-10-02",47.12,47.23,46.55,46.73,5403726
"2014-10-09",47.97,48.25,46.91,46.98,3388846
"2014-10-16",45.09,46.4,45.08,46.13,4544685
"2014-10-23",49.54,50.1,49.24,49.58,3609062
"2014-10-30",49.01,51.08,48.2,50.3,4194633
"2014-11-06",52.5,52.57,51.66,52.47,3434001
"2014-11-13",53.72,54.85,53.72,54.72,5215230
"2014-11-20",53.94,54.24,53.64,53.74,3116852
"2014-12-04",54.29,55.15,54.24,54.78,2691143
"2014-12-11",54.7,55.39,54.28,54.42,2133541
"2014-12-18",54.19,54.38,53.8,54.15,2940867
"2015-01-08",52.33,53.37,52.26,53.37,2808557
"2015-01-15",53.62,53.8,53.11,53.37,3745464
"2015-01-22",54.95,55.23,54.6,55.18,2723304
"2015-01-29",53.11,53.6,52.46,53.51,4104548
"2015-02-05",54.68,55.09,54.25,54.97,2228409
"2015-02-12",56,57.5,56,57.19,3720079
"2015-02-19",56.6,57.12,56.38,56.84,1870909
"2015-02-26",56.96,57.65,56.72,56.76,2994794
"2015-03-05",56.41,56.48,55.26,55.57,2087838
"2015-03-12",54.35,54.92,53.94,54.86,2858710
"2015-03-19",55.03,55.09,54.21,54.25,1942889
"2015-03-26",53.78,54.3,53.68,54.21,2072617
"2015-04-02",54.86,55.09,54.46,54.67,1460387
"2015-04-09",54.5,54.83,54.37,54.49,2041914
"2015-04-16",54.72,55.16,54.53,54.67,3158964
"2015-04-23",52.94,53.17,52.62,52.88,2158418
"2015-04-30",53.05,54.13,53,53.72,2900279
"2015-05-07",51.9,52.11,51.6,52,6154711
"2015-05-14",53.06,53.87,52.99,53.62,4342608
"2015-05-21",52.79,53.19,52.51,53.1,2222849
"2015-05-28",52.64,52.91,52.54,52.71,1257708
"2015-06-04",50.84,51.2,50.77,51.15,2367297
"2015-06-11",50.96,51.75,50.89,51.55,3050716
"2015-06-18",51.14,51.39,50.79,51.04,2497618
"2015-06-25",49.11,49.23,48.36,48.37,4412679
"2015-07-02",48.55,48.82,47.96,47.96,2745769
"2015-07-09",47.37,47.43,46.58,46.6,2659769
"2015-07-16",47.17,48.43,47.17,48.11,3488979
"2015-07-23",48.82,49.11,48.42,48.61,2672295
"2015-07-30",46.76,47.51,46.76,47.47,3202071
"2015-08-06",47.81,48.06,47,47.27,2082724
"2015-08-13",47.09,47.24,46.83,46.87,2416733
"2015-08-20",46.66,46.66,46,46.02,2661947
"2015-08-27",42.74,43.32,42.19,43.15,3170879
"2015-09-03",42.09,42.9,41.96,42.15,1993791
"2015-09-10",41.86,42.17,41.66,41.82,1859310
"2015-09-17",41.34,41.62,40.79,40.91,2485643
"2015-09-24",39.05,39.11,38.15,38.93,4750669
"2015-10-01",37.71,38.63,37.68,38.35,3246495
"2015-10-08",40.3,41.16,40.2,41.09,2835233
"2015-10-15",42.05,42.27,41.15,42.15,2971488
"2015-10-22",41.66,42.9,41.51,42.69,4149632
"2015-10-29",43.97,44,42.8,42.98,4069807
"2015-11-05",42.52,42.75,41.85,42.04,3059678
"2015-11-12",41.5,41.69,40.22,40.24,2951118
"2015-11-19",41.03,41.44,40.83,41.26,2545266
"2015-12-03",40.05,40.45,39.38,39.61,4520185
"2015-12-10",39.34,39.51,38.72,38.76,2325911
"2015-12-17",38.69,38.75,37.72,37.72,3402062
"2015-12-24",38.38,38.72,38.27,38.52,1147748
"2015-12-31",38.08,38.2,37.69,37.7,2572525
"2016-01-07",36.79,37.22,36.18,36.29,4851885
"2016-01-14",36.17,36.79,35.69,36.54,4105957
"2016-01-21",35.45,35.99,34.94,35.46,3355628
"2016-01-28",33.1,33.24,32.56,32.65,4275899
"2016-02-04",34.23,35.39,33.9,35.07,6485804
"2016-02-11",33.85,34.13,32.86,33.12,5870991
"2016-02-18",35.54,35.61,35.03,35.32,2970439
"2016-02-25",34.78,34.95,34.31,34.79,3083873
"2016-03-03",36.8,38.37,36.78,38.31,5133248
"2016-03-10",38.78,39.36,38.46,39.25,5242868
"2016-03-17",40.31,41.7,40.24,41.27,5021654
"2016-03-24",40.5,40.82,40.22,40.79,2746610
"2016-03-31",41,41.16,40.61,41.04,4323337
"2016-04-07",39.85,40.14,39.37,39.6,2426647
"2016-04-14",41.4,41.45,40.72,40.99,2295706
"2016-04-21",42.92,43.5,42.52,42.57,3471969
"2016-04-28",43.65,44.26,43.11,43.57,2612487
"2016-05-05",41.95,42.09,41.47,41.5,2732555
"2016-05-12",43.31,43.44,42.4,42.6,2154346
"2016-05-19",40.2,40.3,39.52,40.26,3753532
"2016-05-26",42.11,42.26,41.71,41.84,2460609
"2016-06-02",42.15,43.09,42.07,42.9,3181703
"2016-06-09",43.9,43.99,43.36,43.59,1661097
"2016-06-16",41.37,41.76,40.89,41.73,2799883
"2016-06-23",43.02,43.29,42.88,43.29,1582591
"2016-06-30",41.31,42.38,41,42.38,3104974
"2016-07-07",41.95,42.48,41.67,41.9,2317005
"2016-07-14",44.5,44.68,43.98,44.05,3046040
"2016-07-21",45.07,45.32,44.72,44.88,1812521
"2016-07-28",45.5,46.28,44.93,45.73,3215848
"2016-08-04",45.85,46.38,45.72,45.82,2061309
"2016-08-11",46.46,47.02,46.46,46.93,2688093
"2016-08-18",47.29,47.7,47.25,47.61,2252411
"2016-08-25",46.54,48.71,46.35,48.39,6974548
"2016-09-01",48.59,48.99,48.3,48.71,2112686
"2016-09-08",49.26,49.46,48.96,49.07,2251434
"2016-09-15",47.52,48.41,47.44,48.25,2459451
