"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume"
"2011-09-15",73.69,76.11,73.16,76.08,854386
"2011-09-22",68.65,69.1,66.76,67.57,656314
"2011-09-29",73.05,73.78,70.7,72.12,750243
"2011-10-06",72.02,73.52,71.23,73.5,797928
"2011-10-13",76.52,76.83,75.12,75.53,573415
"2011-10-20",76.64,77.24,75.62,76.32,643794
"2011-10-27",82.03,82.8,81.42,82.12,960623
"2011-11-03",82.09,84.49,80.89,84.24,527932
"2011-11-10",82.67,83.35,81.87,82.55,443799
"2011-11-17",84.46,84.86,81.95,82.73,717994
"2011-12-01",84.86,85.76,84.64,84.67,471273
"2011-12-08",84.09,84.66,82.92,83.16,512379
"2011-12-15",82.4,82.54,81.47,81.99,462339
"2011-12-22",86.52,87.8,86.23,87.49,422753
"2011-12-29",86.84,87.48,86.52,86.99,619065
"2012-01-05",87.61,89.6,86.68,89.47,527947
"2012-01-12",91.88,92.84,91.5,92.62,405347
"2012-01-19",94,95.1,93.82,94.78,530749
"2012-01-26",95.4,96,93.92,94.25,499293
"2012-02-02",94.87,95.88,90.98,93.43,1730711
"2012-02-09",94.19,94.53,93.37,94.42,264421
"2012-02-16",93.42,94.59,93.35,94.52,254279
"2012-02-23",94.86,95.21,94.24,94.33,394376
"2012-03-01",91.69,93.61,91.69,93.4,697878
"2012-03-08",93.61,94.44,93,94.24,457701
"2012-03-15",98.99,99.38,98.39,99.08,639561
"2012-03-22",99.08,99.3,98.41,99.3,503717
"2012-03-29",98.48,99.1,98.09,98.78,782199
"2012-04-05",97.97,98.41,97.68,98.07,239660
"2012-04-12",96.47,98.74,96.4,98.6,311998
"2012-04-19",99.02,99.08,96.26,96.95,1009350
"2012-04-26",100.58,102.12,100.58,102.12,818344
"2012-05-03",103.04,103.47,101.93,102.22,311186
"2012-05-10",101.86,101.98,100.84,101.66,430670
"2012-05-17",100.64,100.89,96.56,96.86,890008
"2012-05-24",100.57,100.95,99.49,100.36,382989
"2012-05-31",101.45,101.94,100.22,101.22,490759
"2012-06-07",101.23,103.33,98.72,99.05,462011
"2012-06-14",99.5,100.62,99.01,99.98,355017
"2012-06-21",102.02,102.16,98.88,99.11,323140
"2012-06-28",95.05,96.08,94.34,95.38,634283
"2012-07-05",98.33,99.65,98.08,99.07,276511
"2012-07-12",94.06,95,92.53,94.44,551903
"2012-07-19",96.63,97.38,96.5,96.61,391754
"2012-07-26",95.63,96.1,94.45,95.87,579363
"2012-08-02",100.53,102.14,100.07,102.06,463355
"2012-08-09",104.09,104.32,103.64,103.88,251566
"2012-08-16",104.94,106.45,104.7,105.8,543950
"2012-08-23",103.93,104.84,103.54,104.51,382394
"2012-08-30",102.4,102.96,101.99,102.52,288623
"2012-09-06",103.02,104.95,102.85,104.91,299070
"2012-09-13",104.37,105.2,103.47,105.05,412337
"2012-09-20",108.72,109.33,107.92,108.79,933065
"2012-09-27",109.95,110.4,109.16,110.12,314907
"2012-10-04",109.69,110.4,109.36,110.14,205538
"2012-10-11",109.44,110.24,108.84,109.7,546654
"2012-10-18",110.86,110.87,109.81,110.06,380515
"2012-10-25",107.41,109.51,106.35,108.84,518310
"2012-11-01",109.16,110.38,108.92,109.83,435734
"2012-11-08",109.15,109.57,107.81,108.25,279660
"2012-11-15",107.29,108.26,106.58,107.69,645454
"2012-11-29",112.02,112.12,110.63,111.23,343668
"2012-12-06",110.22,111.58,110.12,111.46,490600
"2012-12-13",112,112.88,111.21,111.3,319141
"2012-12-20",109.43,110.76,109.37,110.75,474720
"2012-12-27",109.61,110.37,109.01,110.07,222765
"2013-01-03",114.25,115.73,114,114.61,428279
"2013-01-10",115.7,115.7,113.82,114.47,709168
"2013-01-17",114.27,115.5,114.27,115.22,306889
"2013-01-24",117.8,119,117.67,118.6,409869
"2013-01-31",117.51,118.06,116.45,117.45,621484
"2013-02-07",119.35,119.5,117.82,118.42,365789
"2013-02-14",119.12,120.28,119.12,119.86,243343
"2013-02-21",121.1,122.29,120.95,122,832759
"2013-02-28",124.44,125.28,124.04,124.61,315668
"2013-03-07",125.12,125.82,124.87,125.57,376968
"2013-03-14",125,126.89,124.6,125.91,443370
"2013-03-21",124.88,125.76,124.4,124.42,382250
"2013-03-28",125.79,127.42,125.74,127.31,526038
"2013-04-04",123.72,124.69,123.59,123.94,267489
"2013-04-11",124.4,125.17,123.99,124.35,292119
"2013-04-18",121.17,124,121.17,122.35,1175678
"2013-04-25",124.3,125.13,123.49,123.66,438086
"2013-05-02",118.76,119.12,118.28,118.53,447503
"2013-05-09",121.36,121.55,120.52,120.88,515911
"2013-05-16",121.83,122.22,121.03,121.27,562781
"2013-05-23",121.89,123.37,121.89,123.13,580114
"2013-05-30",124.4,125.81,124.4,125.25,369196
"2013-06-06",121.92,122.27,120.72,122.12,404503
"2013-06-13",119.38,121.79,119.1,121.5,244735
"2013-06-20",122.93,122.93,120.87,121.27,569426
"2013-06-27",121.26,124.11,121.23,124,497860
"2013-07-11",130.04,130.68,129.48,130.19,327210
"2013-07-18",129.37,130.93,129,130.64,281192
"2013-07-25",131.27,131.88,130.94,131.56,347232
"2013-08-01",126.75,128.38,126.51,127.97,622494
"2013-08-08",126.32,126.37,125.72,125.83,301808
"2013-08-15",125.33,126.44,125,125.05,423309
"2013-08-22",124.31,125.51,124.15,125.49,286759
"2013-08-29",123.27,124.25,122.97,124.01,334534
"2013-09-05",126.16,126.84,125.29,126.44,190649
"2013-09-12",129.51,130.51,129.51,130.05,307619
"2013-09-19",134.45,135.69,133.88,134.61,344543
"2013-09-26",133.88,135.04,133.3,135.01,209351
"2013-10-03",131.59,132.34,129.6,130.51,258533
"2013-10-10",128.03,130.36,127.78,130.21,250314
"2013-10-17",129.78,131.39,129.56,131.31,337182
"2013-10-24",132.57,132.95,131.24,131.57,265216
"2013-10-31",125.69,127.92,125.62,126.81,434848
"2013-11-07",126.29,126.29,123.46,123.57,403805
"2013-11-14",126.72,127.1,126.07,126.47,505367
"2013-11-21",127.11,128.29,126.85,128.18,324179
"2013-12-05",127.09,127.54,126.71,127.13,507228
"2013-12-12",129.01,129.8,128.53,129.47,420726
"2013-12-19",132.91,134.16,132.75,133.94,698294
"2013-12-26",137.11,138.37,135.83,138.1,194827
"2014-01-02",138.53,138.53,137.32,138.08,359433
"2014-01-09",139.26,140.32,139.18,139.54,489188
"2014-01-16",141.25,142.53,140.62,140.86,322716
"2014-01-23",140.36,141.28,138.62,139,466782
"2014-01-30",137.36,138,136.57,137.77,313480
"2014-02-06",132.59,133.36,131.94,132.77,481633
"2014-02-13",134.22,136.54,134,136.49,418386
"2014-02-20",135.36,135.89,134.43,135.54,368728
"2014-02-27",134.86,135.42,131.62,134.61,436413
"2014-03-06",136.95,139.07,136.95,138.66,745315
"2014-03-13",134.86,135.61,133.22,133.93,654404
"2014-03-20",134.85,135.62,134.23,135.03,300832
"2014-03-27",133.09,133.31,132.15,132.48,344182
"2014-04-03",136.98,137.26,136.24,136.87,263240
"2014-04-10",133.93,134.35,131.08,131.15,303736
"2014-04-17",130.74,132.31,130.26,130.34,689645
"2014-04-24",132.31,132.33,131.06,131.71,385565
"2014-05-01",138.91,139.59,137.54,138.1,553060
"2014-05-08",139.75,141.43,139.42,140.65,676351
"2014-05-15",139.58,139.83,137.49,138.71,363280
"2014-05-22",140.46,141.35,139.81,140.69,267139
"2014-05-29",141.41,141.77,140.9,141.31,423657
"2014-06-05",140.89,143.51,140.64,143.4,359657
"2014-06-12",145.64,146.02,144.91,145.59,513529
"2014-06-19",150.45,151.45,146.46,147.42,299815
"2014-06-26",146.71,146.83,145.21,145.98,188016
"2014-07-03",145.97,146.93,145.68,146.43,298214
"2014-07-10",144.18,144.86,143.72,143.98,252831
"2014-07-17",143.35,144,142.32,142.5,803046
"2014-07-24",143.31,143.65,142.71,142.96,286845
"2014-07-31",146.14,146.69,144,144.07,630493
"2014-08-07",144.29,145.83,143.95,144.4,484122
"2014-08-14",147.48,148.16,147.16,148.12,176012
"2014-08-21",150.76,151.06,150,150.73,187473
"2014-08-28",150.63,150.63,149.81,150.38,161264
"2014-09-04",149.62,150.15,148.31,148.83,347613
"2014-09-11",147.42,147.87,147.02,147.66,343879
"2014-09-18",149.98,150.45,149.52,150.23,243094
"2014-09-25",147.3,147.3,145.55,145.56,294371
"2014-10-02",145.46,145.83,143.52,144.83,442246
"2014-10-09",147,147,143.25,143.25,325180
"2014-10-16",138.87,141.75,137.55,141.11,530882
"2014-10-23",148.66,150.9,148.66,150.53,462416
"2014-10-30",153.68,155.34,153.45,154.83,434938
"2014-11-06",157,158.31,156.44,158.23,511378
"2014-11-13",156.76,158.2,156.37,156.74,283367
"2014-11-20",156.31,157.6,155.22,157.21,208161
"2014-12-04",159.26,160.09,158.07,158.79,190765
"2014-12-11",153.44,155.13,152.71,153.03,224958
"2014-12-18",154.23,157.64,153.67,157.59,493235
"2015-01-08",152.01,153.14,150.96,152.21,626559
"2015-01-15",147.73,148.48,145.38,145.88,732609
"2015-01-22",149.01,150.47,147.09,150.23,429752
"2015-01-29",154.19,156.71,154.04,156.43,598825
"2015-02-05",158.12,162.53,157.88,162.11,670087
"2015-02-12",163.84,165.13,163.52,165.07,394894
"2015-02-19",167.11,168.03,166.96,167.4,292016
"2015-02-26",168.4,169.33,167.71,168.57,304916
"2015-03-05",166.9,168.8,166.29,168.61,332751
"2015-03-12",166,168.84,165.82,168.6,300666
"2015-03-19",170.43,170.43,168.16,169.17,302485
"2015-03-26",170.47,170.91,169.81,170.48,389291
"2015-04-02",169.85,172.65,169.35,171.38,405333
"2015-04-09",169.69,170.69,168.82,170.49,562329
"2015-04-16",170.62,171.44,169.21,170.65,276374
"2015-04-23",168.29,170.82,167.44,170.05,554344
"2015-04-30",170.41,170.65,167.88,168.17,676804
"2015-05-07",167.59,169.16,166.77,168.88,379623
"2015-05-14",175.32,176.62,174.6,176.35,443486
"2015-05-21",177.01,177.64,176.02,177.2,278895
"2015-05-28",177.5,177.64,176.01,177.18,225655
"2015-06-04",175.83,175.83,174.02,174.33,260638
"2015-06-11",177.22,178.33,176.93,177.71,265588
"2015-06-18",174.83,177.39,174.61,177.01,376439
"2015-06-25",175.95,176.59,174.91,175.09,226253
"2015-07-02",174.71,174.89,173.6,174.59,462947
"2015-07-09",173.47,174.37,171.3,171.56,341666
"2015-07-16",177.25,177.97,176.47,177.08,178573
"2015-07-23",174.78,176.16,173.63,173.81,384952
"2015-07-30",165.99,167.63,165.39,167.07,271388
"2015-08-06",167.39,168.28,166.27,166.95,343983
"2015-08-13",168.24,169.8,167.4,169.06,217005
"2015-08-20",167.9,169.22,165.68,165.71,352330
"2015-08-27",159.14,163.9,158.44,163.25,632180
"2015-09-03",159.07,162.53,158.21,158.74,506829
"2015-09-10",157.77,160.14,157.77,159.04,368440
"2015-09-17",162.06,163.98,161.03,161.47,452221
"2015-09-24",151.8,154.97,150.91,153.91,648603
"2015-10-01",157.59,157.86,156.25,157.75,586645
"2015-10-08",167.9,174.34,166.03,173.97,710334
"2015-10-15",174.72,174.9,172.3,174.64,349540
"2015-10-22",173.86,176.88,172.99,175.5,1001925
"2015-10-29",183.4,184.57,183.1,184.24,258038
"2015-11-05",187.44,188.82,186.28,187.91,414604
"2015-11-12",185.78,187.62,184.25,184.33,263093
"2015-11-19",190.79,191.81,188.74,189.44,445628
"2015-12-03",188.38,189.26,185.82,187.62,592200
"2015-12-10",185.11,187.64,184.38,186.52,286450
"2015-12-17",186.46,188.32,183.4,184.6,649221
"2015-12-24",189.54,190.35,189.14,189.84,117615
"2015-12-31",190.07,191.16,189.5,189.79,248284
"2016-01-07",179.83,181.26,177.48,177.89,444893
"2016-01-14",170.95,172.36,168.8,170.84,834101
"2016-01-21",167.69,168.88,165.22,166.4,584646
"2016-01-28",170.09,171.24,168.14,169.72,415366
"2016-02-04",162.04,168.1,160.49,166.97,721042
"2016-02-11",157.6,161.11,157.18,159.97,467272
"2016-02-18",169.6,172.36,168.88,170.5,631085
"2016-02-25",171.22,172.2,169.25,171,507768
"2016-03-03",171.21,172.47,170.63,172.38,346442
"2016-03-10",170.58,171.51,168.79,170.46,358422
"2016-03-17",177.69,180.69,177.52,179.78,542753
"2016-03-24",179.05,180.67,178.86,180.53,363128
"2016-03-31",181.84,183.69,181.14,182.77,354326
"2016-04-07",178,178.86,176.01,176.56,554896
"2016-04-14",178.78,178.91,176.73,176.9,425554
"2016-04-21",178.44,179.75,177.48,178.72,399790
"2016-04-28",177.97,179.5,176.35,176.8,510636
"2016-05-05",174.53,175.86,173.78,174.37,400598
"2016-05-12",176.23,177.48,174.81,177.15,424926
"2016-05-19",179.61,180.52,178.24,179.99,616405
"2016-05-26",173.9,174.37,170.22,171.71,793633
"2016-06-02",170.88,171.99,170.25,171.65,469025
"2016-06-09",173.24,175,172.73,174.25,325695
"2016-06-16",167.93,169.02,165.93,168.62,324920
"2016-06-23",171.58,172.97,171.22,172.91,270322
"2016-06-30",167.41,170.61,167.33,170.56,494290
"2016-07-07",167.25,168.07,166.1,167.27,383290
"2016-07-14",171.39,172.7,171.12,172.02,516081
"2016-07-21",173.54,174.02,171.56,171.85,336511
"2016-07-28",167.16,169.43,166.98,169.12,822472
"2016-08-04",169.77,170.22,169.13,169.57,460251
"2016-08-11",171.86,174.6,171.86,174.45,458413
"2016-08-18",172.72,173.22,172.07,173.22,301999
"2016-08-25",175.97,176.88,175.78,176.83,222642
"2016-09-01",177.12,180.87,176.93,180.71,561088
"2016-09-08",179.64,181.51,178.9,180.21,539783
"2016-09-15",175.81,178.5,175.48,178.19,378529
