"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume"
"2011-09-15",18.46,19.15,18.29,19.06,4720979
"2011-09-22",17.49,17.69,16.91,17.21,2760711
"2011-09-29",17.56,17.74,17.04,17.45,1975706
"2011-10-06",16.45,16.92,16.27,16.9,1979793
"2011-10-13",17.49,17.66,17.25,17.51,2041920
"2011-10-20",16.95,17.12,16.49,17.02,2121033
"2011-10-27",18.22,18.65,18.03,18.18,5846333
"2011-11-03",17.99,18.07,17.71,17.8,4910974
"2011-11-10",17.7,17.78,17.35,17.61,2428904
"2011-11-17",17.34,17.36,16.69,16.85,3147753
"2011-12-01",17.56,17.75,17.48,17.63,1775441
"2011-12-08",18.58,18.64,17.86,17.9,2671455
"2011-12-15",17.24,17.36,17.08,17.21,1421473
"2011-12-22",16.85,17.06,16.68,17.04,4566903
"2011-12-29",16.95,17.13,16.91,17.06,2204053
"2012-01-05",17.39,17.47,17.26,17.39,2078020
"2012-01-12",17.68,18.1,17.52,18.03,2312004
"2012-01-19",19.13,19.41,18.99,19.33,2529473
"2012-01-26",20.16,20.3,19.92,20.03,2520274
"2012-02-02",20.32,20.32,19.93,20.02,1368293
"2012-02-09",20.76,21.5,20.37,20.76,3899699
"2012-02-16",19.79,20.75,19.73,20.59,5683161
"2012-02-23",19.85,20.13,19.62,19.93,3235066
"2012-03-01",19.65,19.91,19.52,19.72,2390627
"2012-03-08",19.69,19.81,19.42,19.46,2802222
"2012-03-15",19.88,20.1,19.68,20.07,3200727
"2012-03-22",19.75,19.9,19.5,19.66,1716062
"2012-03-29",19.39,19.54,19.32,19.46,1290241
"2012-04-05",19.88,19.89,19.43,19.43,4072600
"2012-04-12",18.36,18.78,18.32,18.77,2013134
"2012-04-19",19.11,19.33,18.99,19.12,1122287
"2012-04-26",18.89,19.17,18.89,19.17,1543213
"2012-05-03",19.04,19.06,18.16,18.31,5095992
"2012-05-10",18.34,18.43,18.06,18.12,3414622
"2012-05-17",16.92,16.97,16.24,16.26,3173993
"2012-05-24",16.3,16.35,15.84,16.08,1844669
"2012-05-31",15.71,15.77,15.44,15.65,2289213
"2012-06-07",15.92,16,15.51,15.54,1393251
"2012-06-14",15.35,15.58,15.29,15.52,1446555
"2012-06-21",15.82,15.85,15.34,15.44,1957973
"2012-06-28",14.83,15.05,14.79,14.95,3921476
"2012-07-05",15.95,16.1,15.8,15.95,2451239
"2012-07-12",15.38,15.42,15.07,15.08,2023993
"2012-07-19",15.48,15.71,15.4,15.67,2308640
"2012-07-26",15.48,15.55,15.19,15.33,2064991
"2012-08-02",14.21,14.23,11.51,13.15,23869353
"2012-08-09",13.88,14.1,13.85,14.01,2502444
"2012-08-16",13.66,14.03,13.66,13.84,11421047
"2012-08-23",13.41,13.42,13.07,13.11,2325981
"2012-08-30",14.5,14.63,14.23,14.31,5283161
"2012-09-06",14.95,15.26,14.9,14.99,3897495
"2012-09-13",15.87,16.26,15.72,16.22,6034845
"2012-09-20",16.17,16.58,15.99,16.57,4432759
"2012-09-27",15.64,15.67,15.45,15.59,2035114
"2012-10-04",15.35,15.55,15.32,15.43,1638707
"2012-10-11",15.51,15.74,15.43,15.48,1419026
"2012-10-18",16.21,16.51,16.13,16.51,1647542
"2012-10-25",15.86,15.94,15.69,15.92,1359507
"2012-11-01",16.27,16.8,16.19,16.68,2854457
"2012-11-08",16.58,16.88,16.55,16.57,2905540
"2012-11-15",16.66,16.77,16.42,16.49,3043787
"2012-11-29",17.02,17.04,16.7,16.8,2011477
"2012-12-06",16.49,16.76,16.49,16.7,1780644
"2012-12-13",16.32,16.62,16.32,16.43,3478443
"2012-12-20",17.27,17.44,17.09,17.35,2793602
"2012-12-27",17.5,17.51,17.13,17.37,2343713
"2013-01-03",17.94,18.32,17.92,18,2034355
"2013-01-10",18.3,18.33,18.11,18.29,2091464
"2013-01-17",18.7,18.95,18.6,18.83,1652097
"2013-01-24",18.93,19.04,18.82,18.93,1383603
"2013-01-31",18.59,18.84,18.59,18.72,1202312
"2013-02-07",19.51,19.54,19.14,19.23,2275720
"2013-02-14",18.93,19.05,18.85,18.97,1753404
"2013-02-21",20.44,20.72,20.18,20.66,3622692
"2013-02-28",21.88,22.28,21.8,22.21,2892054
"2013-03-07",22.32,22.54,22,22.36,3909196
"2013-03-14",23.35,24.2,23.35,24.15,3371191
"2013-03-21",24.1,24.2,23.57,23.58,1898425
"2013-03-28",24.33,24.55,23.94,24.11,2221186
"2013-04-04",22.35,22.56,22.04,22.04,3959095
"2013-04-11",22.7,23.01,22.56,22.9,2900142
"2013-04-18",21.43,21.47,20.98,21.15,2094563
"2013-04-25",22.19,22.45,21.88,22.31,1809740
"2013-05-02",22.21,22.51,21.68,21.77,2786720
"2013-05-09",22.77,23.03,22.68,22.74,1387981
"2013-05-16",23.22,23.8,23.22,23.62,3256177
"2013-05-23",23.35,23.96,23.21,23.81,1266508
"2013-05-30",24.36,24.58,23.67,24.24,1815379
"2013-06-06",23.57,23.87,23.24,23.6,1952925
"2013-06-13",23.44,23.91,23.3,23.86,1142014
"2013-06-20",24.01,24.05,23.31,23.53,1980911
"2013-06-27",23.75,24.1,23.69,24.04,1998275
"2013-07-11",27.14,27.27,26.85,27.26,1637367
"2013-07-18",27.54,27.64,27.29,27.34,1824047
"2013-07-25",26.64,27.16,26.6,27.07,1766327
"2013-08-01",27.52,28.06,27.41,27.88,1923558
"2013-08-08",30.26,30.53,30,30.07,1596052
"2013-08-15",29.92,30.05,29.53,29.58,1882676
"2013-08-22",29.11,29.16,28.56,28.95,918152
"2013-08-29",28.07,28.7,27.94,28.41,765843
"2013-09-05",29.39,29.66,29.27,29.53,1355346
"2013-09-12",30.05,30.13,29.68,29.82,1111300
"2013-09-19",30.35,30.56,29.82,29.83,3921024
"2013-09-26",27.17,27.68,27.17,27.62,1727617
"2013-10-03",27.03,27.08,26.44,26.81,2793778
"2013-10-10",27.03,27.43,27.02,27.39,1451653
"2013-10-17",27.03,27.94,27.02,27.88,1808641
"2013-10-24",28.14,28.48,27.98,28.45,1254497
"2013-10-31",29.91,30.61,29.91,30.18,3622570
"2013-11-07",31.28,31.41,30.47,30.5,1841773
"2013-11-14",30.91,31.09,30.6,30.96,854473
"2013-11-21",30.9,32.25,30.9,32.11,1841580
"2013-12-05",31.8,31.96,31.35,31.46,1383859
"2013-12-12",31.39,31.7,31.28,31.55,1117220
"2013-12-19",32.34,32.66,32.21,32.55,1069854
"2013-12-26",34.01,34.11,33.62,33.96,1115405
"2014-01-02",34.02,34.04,33.46,33.73,1111962
"2014-01-09",34.06,34.3,33.64,33.75,1563969
"2014-01-16",33.52,33.75,33.36,33.68,1014628
"2014-01-23",32.74,32.82,31.93,32.09,1980061
"2014-01-30",31.41,31.53,31.23,31.39,1371503
"2014-02-06",29.91,30.8,28.18,29.86,4816022
"2014-02-13",31.78,32.45,31.73,32.41,1568897
"2014-02-20",32.44,32.8,31.92,32.72,1643160
"2014-02-27",33.26,33.62,33.13,33.46,1606954
"2014-03-06",34.65,34.85,34.39,34.59,955242
"2014-03-13",32.9,33.24,32.21,32.38,2102366
"2014-03-20",32.02,32.41,32,32.41,911533
"2014-03-27",31.2,31.41,30.82,31.37,1229353
"2014-04-03",33.47,33.63,32.78,33.15,1902339
"2014-04-10",32.17,32.27,31.16,31.32,1739816
"2014-04-17",32.14,32.43,31.9,32.27,1386878
"2014-04-24",33.34,33.36,32.97,33.13,2358705
"2014-05-01",34.07,34.24,33.22,33.56,4092298
"2014-05-08",33.2,33.77,32.98,33.17,1877464
"2014-05-15",33.06,33.15,32.14,32.29,2002367
"2014-05-22",32.6,32.68,32.44,32.5,740410
"2014-05-29",32.95,33.15,32.68,33.08,682620
"2014-06-05",32.42,32.6,32.08,32.48,1023318
"2014-06-12",33.61,33.64,33.14,33.23,1646427
"2014-06-19",34.3,34.6,34.21,34.53,1236035
"2014-06-26",34.16,34.5,33.78,34.47,1474619
"2014-07-03",33.79,33.98,33.4,33.77,1152395
"2014-07-10",33.03,33.35,32.83,33.21,1149859
"2014-07-17",33.43,33.65,33.03,33.14,868431
"2014-07-24",32.72,33,32.42,32.44,1531732
"2014-07-31",32.55,32.62,32.09,32.12,2927015
"2014-08-07",33.51,33.69,32.83,33.09,2152016
"2014-08-14",33.82,34.59,33.7,34.57,2123300
"2014-08-21",35.68,35.88,35.41,35.81,1767283
"2014-08-28",35.83,35.98,35.72,35.81,702856
"2014-09-04",36.19,36.87,36.18,36.66,1642364
"2014-09-11",36.64,37,36.56,36.82,1028937
"2014-09-18",36.62,36.83,36.25,36.44,1881468
"2014-09-25",35.47,35.64,35.06,35.23,1479728
"2014-10-02",33.89,34.05,33.07,33.67,2158644
"2014-10-09",33.85,33.99,32.66,32.81,2183472
"2014-10-16",30.57,32.3,30.5,32.17,2552482
"2014-10-23",32.99,33.43,32.93,33,2357051
"2014-10-30",34.95,35.83,34.79,35.21,5097892
"2014-11-06",37.8,38.27,37.63,38.11,2349674
"2014-11-13",38.52,38.6,37.92,38.38,2297595
"2014-11-20",37.91,38.5,37.79,38.48,1434282
"2014-12-04",39.89,40.53,39.87,40.21,1609920
"2014-12-11",41.52,42.12,41.42,41.93,2860387
"2014-12-18",42.69,42.89,41.79,42.28,2311714
"2015-01-08",42.85,43.61,42.85,43.15,2699262
"2015-01-15",42.25,42.36,41.49,41.6,2666871
"2015-01-22",42,43.09,41.81,43.05,3025880
"2015-01-29",39.42,40.85,39.42,40.73,3698105
"2015-02-05",41.86,42.54,41.75,41.97,2401158
"2015-02-12",45.4,46.33,45.38,46.21,2813860
"2015-02-19",47.14,47.7,46.64,47.68,1687332
"2015-02-26",47.56,48.34,47.44,48.1,1024698
"2015-03-05",46.57,46.69,46.08,46.14,1139347
"2015-03-12",45.91,46.44,45.7,46.17,1751748
"2015-03-19",46.47,46.78,46.35,46.53,1205072
"2015-03-26",45.03,45.29,44.69,45.05,1107167
"2015-04-02",45.3,45.87,44.99,45.09,1152050
"2015-04-09",46.05,46.7,45.99,46.63,1570252
"2015-04-16",44.28,44.84,44.28,44.48,1378072
"2015-04-23",44.32,44.98,44,44.79,1885649
"2015-04-30",45.47,46.13,44.49,45.6,4012865
"2015-05-07",46.96,48.08,46.93,47.97,1878377
"2015-05-14",48.33,49.46,48.06,49.37,2888499
"2015-05-21",49.63,49.7,49.15,49.43,1322081
"2015-05-28",49.82,50.11,49.4,49.47,1327108
"2015-06-04",48.36,48.85,48.16,48.31,960352
"2015-06-11",49.97,50.55,49.89,50.49,2083470
"2015-06-18",51.19,51.86,50.81,51.64,2794064
"2015-06-25",52.11,52.16,51.74,51.85,1698433
"2015-07-02",52.26,52.27,51.69,51.87,1408966
"2015-07-09",52.13,52.2,50.93,51.09,2084196
"2015-07-16",52.94,53.26,52.83,52.9,1568911
"2015-07-23",52.17,52.22,50.89,50.98,2036960
"2015-07-30",50.84,54.96,50.65,52.98,3671860
"2015-08-06",55.26,55.58,54.31,54.62,2363440
"2015-08-13",53.83,54.51,53.72,54.14,1713554
"2015-08-20",53.88,53.9,52.66,53.07,2417315
"2015-08-27",52.01,52.48,51.2,52,2804604
"2015-09-03",51.01,51.77,50.87,51.09,1793611
"2015-09-10",50.87,51.6,50.68,51.14,2653138
"2015-09-17",51.22,51.84,51.06,51.25,2069359
"2015-09-24",47.52,47.55,46.64,47.22,2903931
"2015-10-01",47.02,47.5,46.29,46.97,2709283
"2015-10-08",48.27,48.86,48.04,48.71,1587414
"2015-10-15",48.85,49.23,48.25,48.91,1885377
"2015-10-22",49.72,51.6,49.64,51.45,2277151
"2015-10-29",48.9,49.3,48.63,49.11,1907365
"2015-11-05",47.8,48.28,47.67,48.12,1296791
"2015-11-12",45.15,45.43,43.68,43.72,3389205
"2015-11-19",45.01,45.76,44.77,45.66,1809525
"2015-12-03",45.1,45.76,44.85,45.12,2620835
"2015-12-10",44.26,44.42,43.46,43.5,1674104
"2015-12-17",43.78,43.9,42.81,43.07,1708935
"2015-12-24",43.8,44.03,43.62,43.81,312565
"2015-12-31",44.9,45,44.45,44.6,1516349
"2016-01-07",42.09,42.33,41.39,41.43,1541469
"2016-01-14",40.86,41.71,40.43,41.32,1480097
"2016-01-21",39.96,40.73,39.77,39.82,1174256
"2016-01-28",39.95,40.19,38.02,38.36,2873376
"2016-02-04",41.85,42.45,40.94,41.64,3340067
"2016-02-11",42.62,42.84,41.75,42.3,2832940
"2016-02-18",42.36,43.47,42.15,43.13,1583384
"2016-02-25",45.6,46.39,45.26,46.36,2080502
"2016-03-03",46.49,46.54,45.9,46.52,2199806
"2016-03-10",45.89,46.17,45.2,45.95,1159605
"2016-03-17",46.77,47.31,46.5,47.25,1904991
"2016-03-24",47.42,47.81,46.95,47.3,1003309
"2016-03-31",48.06,48.38,47.72,48.01,1203573
"2016-04-07",49.45,49.53,48.74,49,1541358
"2016-04-14",50.22,50.29,49.26,49.62,1021448
"2016-04-21",51.64,51.88,50.68,50.74,1681163
"2016-04-28",48.74,50.04,47.94,48.35,6220987
"2016-05-05",46.5,46.95,46.4,46.58,1684940
"2016-05-12",47.22,48.34,47.22,47.8,1826472
"2016-05-19",46.69,47.01,45.76,46.69,2093017
"2016-05-26",46.97,46.97,46.24,46.54,1255738
"2016-06-02",46.27,46.72,45.92,46.72,1335483
"2016-06-09",45.94,47.34,45.81,47.19,2794292
"2016-06-16",46.8,47.38,46.58,47.32,1463646
"2016-06-23",47.87,48.04,47.64,47.85,856729
"2016-06-30",45.21,46.06,44.93,45.97,2069039
"2016-07-07",45.9,46.25,45.41,45.69,1612117
"2016-07-14",48.65,48.88,48.12,48.33,1027203
"2016-07-21",49.4,49.54,48.58,48.7,1040256
"2016-07-28",48.73,50,47.18,47.32,3067233
"2016-08-04",46.42,47.03,46.15,46.61,1553592
"2016-08-11",47,47.55,46.91,47.15,1808741
"2016-08-18",46.51,46.51,46.06,46.34,997070
"2016-08-25",47.43,48.1,47.43,47.68,1467817
"2016-09-01",47.06,47.51,46.7,47.5,1571723
"2016-09-08",47.35,47.69,46.99,47.06,820667
"2016-09-15",45.25,46.38,45.21,46.26,1443547
