"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume"
"2011-09-15",12.06,12.16,11.71,11.88,5650868
"2011-09-22",10.89,10.92,10.45,10.67,9713021
"2011-09-29",11.31,11.37,10.36,10.71,9723678
"2011-10-06",10.19,10.75,10.16,10.72,5785849
"2011-10-13",11.21,11.91,11.1,11.82,7754061
"2011-10-20",12.26,12.26,11.48,12.06,19252508
"2011-10-27",16.66,16.89,15.81,16.33,13415916
"2011-11-03",17.3,17.71,16.66,17.29,19080487
"2011-11-10",17.49,17.65,16.62,17.51,13114004
"2011-11-17",17.11,17.19,16,16.76,11632166
"2011-12-01",17.28,17.7,16.82,17.4,9430368
"2011-12-08",16.31,16.38,15.57,15.7,7174471
"2011-12-15",15.63,15.84,15.36,15.38,6550411
"2011-12-22",16.06,16.36,15.87,16,4420358
"2011-12-29",15.67,15.87,15.48,15.85,3537304
"2012-01-05",18.2,18.27,17.55,17.9,28075436
"2012-01-12",18.81,19.5,18.8,19.37,23587573
"2012-01-19",19.79,19.95,19.69,19.84,7222849
"2012-01-26",19.92,20,19.66,19.8,7336259
"2012-02-02",25.46,26.31,25.19,25.74,26351245
"2012-02-09",27.06,27.3,26.29,26.68,14218376
"2012-02-16",26.47,27.3,26.3,27.18,9997782
"2012-02-23",26.35,27.4,26.35,27.11,9857361
"2012-03-01",26.44,27.4,25.98,27.36,10559215
"2012-03-08",27.7,28.56,27.7,27.98,11770042
"2012-03-15",27.41,27.52,26.41,26.58,13669234
"2012-03-22",26.7,27.98,26.66,27.93,12346328
"2012-03-29",26.97,27.14,26.42,27.09,6863998
"2012-04-05",26.73,26.8,24.87,25.72,31555378
"2012-04-12",26.02,27.12,26.02,26.98,8160672
"2012-04-19",29.16,29.59,28.45,28.77,16092404
"2012-04-26",31,31.49,30.6,31.09,9545951
"2012-05-03",32.36,32.49,30.82,31.24,11519946
"2012-05-10",30.94,31.72,30.76,31.47,12821654
"2012-05-17",30.17,30.51,28.61,28.67,13069196
"2012-05-24",25.79,27.1,25.78,26.39,16544785
"2012-05-31",23.85,23.88,22.89,23.43,20465755
"2012-06-07",23.64,23.82,22.53,22.66,13993733
"2012-06-14",23.97,24.01,23.38,23.44,8453140
"2012-06-21",23.95,24,22.61,22.68,11452881
"2012-06-28",23.46,23.78,22.86,23.25,19818485
"2012-07-05",24.9,25.33,24.54,25.08,7562360
"2012-07-12",25.24,25.55,24.58,25.23,7193843
"2012-07-19",27.64,27.8,26.9,27.16,7975744
"2012-07-26",29.12,30.6,28.85,30.06,28480665
"2012-08-02",29.95,30.48,29.45,29.96,8569243
"2012-08-09",32.97,33.29,32.48,33.09,13936498
"2012-08-16",34.21,34.7,33.95,34.62,6665139
"2012-08-23",34.75,34.75,33.39,33.69,13623452
"2012-08-30",32.99,33.04,31.7,32.21,10942337
"2012-09-06",31.25,32.06,30.87,31.7,18355225
"2012-09-13",30.11,30.91,29.18,30.32,9590422
"2012-09-20",29.45,30.24,29.16,30.02,9300503
"2012-09-27",31.1,31.95,30.71,31.93,6553484
"2012-10-04",30.11,30.36,29.81,30,10938042
"2012-10-11",28.58,28.93,28.13,28.25,7329879
"2012-10-18",28.17,28.66,27.94,27.97,6688997
"2012-10-25",27.98,28.37,27.81,28.13,6876527
"2012-11-01",27.34,28.33,27.24,28.23,7476473
"2012-11-08",29.37,29.92,29.37,29.61,7583380
"2012-11-15",26.71,27.13,26.71,26.87,11176684
"2012-11-29",25.74,25.86,24.98,25.26,10286268
"2012-12-06",27.44,28.73,27.41,28.53,11358345
"2012-12-13",27.74,28.2,27.52,27.75,7257048
"2012-12-20",30.27,30.53,29.85,30.38,5842921
"2012-12-27",30.22,30.4,29.75,30.21,4120465
"2013-01-03",31.93,32,31.32,31.38,4948817
"2013-01-10",33.66,33.72,32.98,33.68,9941043
"2013-01-17",34.41,35.08,34.36,35.02,7421985
"2013-01-24",36.39,37.37,36.27,36.87,8486687
"2013-01-31",33.21,34.84,32.96,33.98,13520872
"2013-02-07",34.39,34.76,33.53,34.74,9803890
"2013-02-14",34.81,35.26,34.8,34.95,3537420
"2013-02-21",32.23,32.34,31.38,31.72,5674851
"2013-02-28",31.86,32.5,31.71,32.16,5460052
"2013-03-07",33.18,33.2,31.94,32.22,5739702
"2013-03-14",35.5,35.95,35.37,35.89,5130196
"2013-03-21",34.7,34.78,34.08,34.52,3195104
"2013-03-28",36.65,36.95,36.26,36.56,4485077
"2013-04-04",36.13,36.37,35.77,36.34,2524548
"2013-04-11",36.99,37.04,35.75,36.53,7282087
"2013-04-18",34.89,35.15,33.69,33.93,5917412
"2013-04-25",37.01,37.85,36.34,36.54,8986015
"2013-05-02",38.06,39.92,38.05,39.63,14001145
"2013-05-09",40.91,41.4,40.11,40.33,10509871
"2013-05-16",40.74,41.14,40.47,40.59,6561666
"2013-05-23",42.25,43.6,41.64,42.99,7468855
"2013-05-30",43.9,44.44,43.57,43.67,3706902
"2013-06-06",43.71,44.12,43.2,44.12,4186578
"2013-06-13",43.67,44.1,43.15,43.98,2932007
"2013-06-20",43.86,44.06,42.4,42.84,5167465
"2013-06-27",43.38,45,43.21,44.69,4064482
"2013-07-11",46.37,46.5,45.79,46.31,3021326
"2013-07-18",46.93,47.2,46.63,46.9,2510968
"2013-07-25",42.9,42.9,41.01,42.32,9627143
"2013-08-01",41.12,41.93,41.02,41.79,2923675
"2013-08-08",40.3,41.29,40.27,40.91,3360365
"2013-08-15",40.59,40.64,39.28,39.52,3870986
"2013-08-22",39.69,40.49,39.63,40.08,1674986
"2013-08-29",38.57,38.63,37.17,38.09,6676491
"2013-09-05",39.27,39.8,38.96,39.52,3237731
"2013-09-12",40.45,40.8,40.02,40.13,2697197
"2013-09-19",41.8,42.08,41.33,41.36,3132745
"2013-09-26",43.93,43.99,42.83,43.14,3442521
"2013-10-03",45.75,46.03,45.26,45.56,4126900
"2013-10-10",45.26,46.08,45.13,46.04,3028816
"2013-10-17",47.97,48.63,47.65,48.46,2718220
"2013-10-24",48,48.75,47.6,48.56,4962615
"2013-10-31",49.14,50.66,48.54,48.69,4945442
"2013-11-07",48.44,48.57,46.99,47.05,4108362
"2013-11-14",48.29,50.15,48.29,50.1,4035013
"2013-11-21",48.24,48.35,47.25,48.23,2593463
"2013-12-05",49.97,50.65,49.76,49.84,2806586
"2013-12-12",49.75,50.09,49.25,49.41,2426878
"2013-12-19",52.6,52.84,51.86,52.49,2773552
"2013-12-26",56.01,56.18,55.33,56.02,1636983
"2014-01-02",55.93,55.93,55.08,55.41,3023543
"2014-01-09",59.7,59.71,57.56,58.01,3896666
"2014-01-16",61.01,61.1,60.41,60.66,2212708
"2014-01-23",59.78,60.87,59.69,60.74,3985541
"2014-01-30",53.65,54.28,52.94,53.1,4392779
"2014-02-06",48.69,49.71,48.69,49.19,3545460
"2014-02-13",49.11,50,48.71,49.6,3320259
"2014-02-20",49.1,50.36,49.03,50.02,3000532
"2014-02-27",51.69,52.03,51.04,51.92,2033656
"2014-03-06",52.55,52.55,49.53,50.1,6315797
"2014-03-13",50.68,50.95,49.54,49.77,3383913
"2014-03-20",51.75,53.66,51.52,53.1,3513919
"2014-03-27",56.22,56.3,54.46,54.81,3485257
"2014-04-03",57.27,57.53,56.51,57.39,2625516
"2014-04-10",55.74,55.99,53.93,53.95,3251314
"2014-04-17",56.07,56.07,55.15,55.57,1916216
"2014-04-24",54.58,54.78,53.66,53.94,1895214
"2014-05-01",51.9,52.67,49.58,50.75,5977846
"2014-05-08",49.8,50.71,49.07,49.28,3077952
"2014-05-15",50.92,51.17,49.98,50.89,3184502
"2014-05-22",51.18,51.9,51.11,51.61,1988290
"2014-05-29",53.07,53.44,52.48,53.06,1743848
"2014-06-05",53.8,54.48,53.31,54.36,1984156
"2014-06-12",54.49,54.65,53.92,54.22,2335784
"2014-06-19",57.03,57.12,56.22,56.58,1924646
"2014-06-26",56.66,56.9,56.31,56.71,1203106
"2014-07-03",59.17,59.3,58.11,59.26,1757342
"2014-07-10",57.92,59.15,57.65,58.83,1484905
"2014-07-17",60.63,61.15,59.22,59.49,3668322
"2014-07-24",59.58,59.66,58.39,59.58,1842859
"2014-07-31",59.03,60.38,58.15,58.6,3414771
"2014-08-07",57.38,57.4,56.53,56.84,2744932
"2014-08-14",57.73,58.69,57.66,58.39,1951706
"2014-08-21",59.98,60.49,59.74,60.43,1447220
"2014-08-28",61.14,62.19,60.88,62.09,2015676
"2014-09-04",61.7,61.83,60.63,60.96,2902193
"2014-09-11",61.07,61.3,59.92,60.87,2470663
"2014-09-18",59.01,59.98,58.91,59.79,2959001
"2014-09-25",57.35,57.51,55.96,56.26,2493561
"2014-10-02",55.23,55.76,54.38,55.52,2314258
"2014-10-09",56.77,57.44,56.08,56.23,3328134
"2014-10-16",51.18,52.74,51.07,52.38,3183967
"2014-10-23",55.76,56.76,55.47,56.52,3630152
"2014-10-30",58.94,60.47,58.9,60.15,3182983
"2014-11-06",63.37,63.58,62.19,62.53,3840043
"2014-11-13",62.32,62.61,61.67,62.11,1251531
"2014-11-20",64.3,65.55,64.11,65.54,2288777
"2014-12-04",66.9,67.16,65.85,66.09,2170420
"2014-12-11",65.58,66.19,65.12,65.5,2172578
"2014-12-18",66.17,67.61,65.99,67.61,3218920
"2015-01-08",65,66.17,64.51,65.43,3472521
"2015-01-15",64.61,64.96,62.1,62.28,3552234
"2015-01-22",63.15,64.46,62.32,63.94,3563261
"2015-01-29",57.14,58.97,57,58.7,5045957
"2015-02-05",60.12,60.7,59.79,60.41,2189466
"2015-02-12",61.34,61.71,60.86,61.16,1830038
"2015-02-19",60.93,61.56,60.93,61.46,1291282
"2015-02-26",60.14,60.87,60.13,60.68,2406039
"2015-03-05",58.12,58.75,57.4,58.44,3474465
"2015-03-12",52.81,55.13,52.55,54.54,5734434
"2015-03-19",55.3,55.88,55.3,55.7,2471163
"2015-03-26",52.5,54.26,52.12,53.52,4253925
"2015-04-02",51.57,53.04,51.32,52.45,3695871
"2015-04-09",52.88,54.81,52.88,54.69,3384013
"2015-04-16",56.1,56.55,55.45,55.96,4461663
"2015-04-23",58.7,59.39,58.21,58.75,2750245
"2015-04-30",57.74,59.08,57.74,58.72,3902566
"2015-05-07",56.46,57.05,56.09,56.43,2291155
"2015-05-14",56.97,57.55,56.74,57.43,1518464
"2015-05-21",54.43,55.61,54.3,55.37,2886103
"2015-05-28",55.62,56.94,55.62,56.36,3727655
"2015-06-04",55.63,55.65,54.3,54.54,3307696
"2015-06-11",53.83,54.5,53.51,54.3,2895601
"2015-06-18",53.29,54.22,53.02,54.14,2252282
"2015-06-25",51.92,51.92,50.37,50.69,5463677
"2015-07-02",47.81,48.81,47.65,48.15,4713708
"2015-07-09",47.13,47.28,46.04,46.04,2672212
"2015-07-16",47.36,48.34,47.35,47.9,4873674
"2015-07-23",47.33,49.2,46.76,48.01,8724208
"2015-07-30",50.38,51.77,50.22,51.29,7974309
"2015-08-06",51.97,52.48,51.26,51.32,3895765
"2015-08-13",51.35,51.74,51.1,51.37,3723586
"2015-08-20",48.77,49.57,48.29,48.65,5983323
"2015-08-27",48.71,50.39,48.5,50.04,3458983
"2015-09-03",49.56,50.59,48.75,49.49,4629202
"2015-09-10",49.09,50.07,48.21,49.22,4469641
"2015-09-17",48.67,48.79,47.66,47.76,3718422
"2015-09-24",43.08,44.45,42.54,44.1,3888728
"2015-10-01",44.81,44.85,42.36,42.86,6311324
"2015-10-08",47.42,48.58,47.24,48.33,2952504
"2015-10-15",42.28,44.16,40.52,41.44,21462563
"2015-10-22",37.59,39.46,37.42,39.24,8096438
"2015-10-29",39.26,39.26,37.77,38.06,6880145
"2015-11-05",38.74,39.3,38.43,38.87,2826654
"2015-11-12",35.79,36.03,34.06,34.08,8046499
"2015-11-19",34.91,35.19,34.08,34.28,3392733
"2015-12-03",34.76,34.91,33.47,33.77,4557994
"2015-12-10",35.74,36.5,35.5,36.22,4904580
"2015-12-17",34.92,35,33.45,33.92,4021828
"2015-12-24",36.48,37.26,36.47,36.65,1818521
"2015-12-31",37.01,37.35,36.6,36.66,2391683
"2016-01-07",34.05,34.81,33.76,34.54,5974801
"2016-01-14",31.19,32.43,30.45,32.11,5198389
"2016-01-21",29.45,29.47,27.41,27.56,10435506
"2016-01-28",27.17,27.27,26.25,26.76,8672833
"2016-02-04",30.57,33.62,30.56,32.19,11630679
"2016-02-11",29.48,29.8,28.64,29.03,5977815
"2016-02-18",31.83,33.65,31.54,33.11,5533300
"2016-02-25",31.01,31.01,29.8,30.92,3035060
"2016-03-03",33.74,35.06,33.69,34.75,4239205
"2016-03-10",34.33,35.23,33.97,34.95,4268354
"2016-03-17",34.68,35.55,34.45,34.93,4231628
"2016-03-24",34.59,34.7,32.4,33.23,8563075
"2016-03-31",33.98,34.63,33.88,34.45,2737287
"2016-04-07",33.3,33.6,32.65,33.11,3157831
"2016-04-14",29.67,29.85,26.93,27.11,48375475
"2016-04-21",25.74,25.96,25.23,25.43,8574915
"2016-04-28",27.14,27.58,26.78,26.9,7360429
"2016-05-05",20.2,20.42,19.9,20.01,7878648
"2016-05-12",18.86,18.87,18.42,18.79,10122078
"2016-05-19",20.15,20.56,20.01,20.52,8912317
"2016-05-26",21.43,21.66,21.16,21.55,5240159
"2016-06-02",23.25,23.81,23.1,23.75,8292347
"2016-06-09",24.07,24.23,23.64,24.14,6315259
"2016-06-16",22.61,22.7,22.07,22.69,4273259
"2016-06-23",24.16,24.68,24.11,24.48,4714601
"2016-06-30",23.8,24.37,23.2,24.36,8335366
"2016-07-07",24.02,24.34,23.51,23.73,7494165
"2016-07-14",30.03,30.29,29.04,29.19,7786522
"2016-07-21",30.48,31.55,30.4,31.22,7436719
"2016-07-28",32.07,32.63,31.76,32.6,4133094
"2016-08-04",30.94,31.39,30.71,31.26,4459376
"2016-08-11",31.4,31.98,31.4,31.75,2330737
"2016-08-18",31.82,32.49,31.64,32.07,2352497
"2016-08-25",31.41,32.25,31.41,32.05,2591551
"2016-09-01",33.76,34.08,33.34,33.71,4149525
"2016-09-08",36.48,36.58,35.86,36.31,4738335
"2016-09-15",36.13,36.64,36.03,36.45,4246882
