"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume"
"2011-09-15",53.83,54.03,53.34,53.65,2825418
"2011-09-22",51.05,51.77,50.31,50.97,6403726
"2011-09-29",53.43,53.5,48.38,49.54,11955494
"2011-10-06",48.19,49.51,48.14,49.33,7187922
"2011-10-13",50.77,52.98,50.7,52.61,6641471
"2011-10-20",51.73,52.46,51.24,52.16,3815823
"2011-10-27",54.32,54.89,53.73,54.39,3538852
"2011-11-03",53.63,54.12,53.01,54.04,3105549
"2011-11-10",55.26,55.26,54.29,54.74,3298296
"2011-11-17",54.25,54.69,53.12,53.77,2728844
"2011-12-01",56.1,56.53,55.88,56.29,3397336
"2011-12-08",57.84,58.95,57.39,57.49,4624328
"2011-12-15",57.83,58.06,57.16,57.5,3061239
"2011-12-22",58.44,58.53,58.16,58.39,2490188
"2011-12-29",59.12,59.79,59.11,59.58,1734124
"2012-01-05",58.88,59.5,58.4,59.42,3637355
"2012-01-12",61.07,61.55,60.68,60.86,3446776
"2012-01-19",62.7,62.98,62.17,62.47,3601525
"2012-01-26",62.89,63,62.18,62.48,2028058
"2012-02-02",63.98,64.24,63.48,63.78,3470590
"2012-02-09",64.54,65.07,64.45,64.91,6423740
"2012-02-16",63.67,64.87,63.62,64.73,3006890
"2012-02-23",65.84,65.93,65.22,65.83,2996242
"2012-03-01",66.23,66.65,65.99,66.22,2551249
"2012-03-08",65.97,67.25,65.82,66.99,3565803
"2012-03-15",69.03,69.03,68.04,68.62,2003696
"2012-03-22",69.78,71.12,69.78,70.72,3522802
"2012-03-29",70,70.41,69.71,70.29,1986268
"2012-04-05",69.99,70.72,69.77,70.68,2296876
"2012-04-12",70.25,70.98,69.87,70.87,2302651
"2012-04-19",71.44,72.74,70.98,71.41,7941536
"2012-04-26",72.79,73.29,72.36,72.89,2805154
"2012-05-03",74,74.1,71.48,72,5728584
"2012-05-10",70.96,71.85,70.77,71.36,2770183
"2012-05-17",70.05,70.19,67.91,68.02,4319394
"2012-05-24",71.03,71.36,69.52,70.49,4340372
"2012-05-31",70.33,70.96,69.56,70.36,3198201
"2012-06-07",67.79,68.54,66.58,66.77,3384991
"2012-06-14",63.08,64.75,63.02,64.42,3925617
"2012-06-21",66.48,66.56,64.94,65.01,2998486
"2012-06-28",64.05,64.35,62.83,63.89,4208410
"2012-07-05",63,65.17,63,64.75,4653417
"2012-07-12",61.47,63.41,61.05,63.14,7856753
"2012-07-19",63.43,67.5,63.42,65.86,12531292
"2012-07-26",64.34,65.47,64.34,65.11,3783440
"2012-08-02",64.34,65.72,64.16,65.66,4110026
"2012-08-09",66.62,66.92,66.45,66.61,2494238
"2012-08-16",66.25,66.73,65.8,66.13,2885156
"2012-08-23",65.24,65.38,64.3,64.67,2874702
"2012-08-30",63.7,63.98,63.31,63.36,1945832
"2012-09-06",63.78,65.05,63.64,64.08,3895963
"2012-09-13",66.85,67.46,66.06,67.21,2276811
"2012-09-20",67.8,68.19,67.4,68.19,2853465
"2012-09-27",67.01,68.13,66.75,67.63,3444631
"2012-10-04",66.76,66.9,66.13,66.47,2190485
"2012-10-11",71.26,71.55,69.23,69.93,7015731
"2012-10-18",71.35,72.15,71.29,72.09,3493182
"2012-10-25",70.27,70.86,69.84,70.19,2521855
"2012-11-01",70.08,73.3,69.99,72.82,4778214
"2012-11-08",71.41,71.75,70.7,71.14,3044969
"2012-11-15",71.16,72.03,70.86,71.11,2309301
"2012-11-29",73.99,74.75,73.37,74.47,3011083
"2012-12-06",66.01,68.09,65.53,66.92,4877833
"2012-12-13",68.84,68.9,67.62,67.8,4267669
"2012-12-20",67.13,67.16,65.83,66.49,6050466
"2012-12-27",65.28,65.8,64.74,65.46,3356109
"2013-01-03",67.13,68.05,66.94,67.58,2627253
"2013-01-10",65.3,66.52,65.26,66.25,4972180
"2013-01-17",66.19,66.24,65.05,65.4,5683015
"2013-01-24",66.25,66.81,66.16,66.39,3853152
"2013-01-31",64.21,65.4,64.02,64.94,5130117
"2013-02-07",63.04,63.95,63,63.57,6844071
"2013-02-14",64.27,64.54,63.77,63.89,3949556
"2013-02-21",64.27,65.4,64.25,65.05,4490522
"2013-02-28",65.63,66.48,65.43,65.48,3368170
"2013-03-07",66.82,67.31,66.63,67.25,3538603
"2013-03-14",69.46,69.91,69.25,69.85,2674654
"2013-03-21",69.06,69.9,69.06,69.46,1829652
"2013-03-28",71.32,72.21,70.9,71.94,3275248
"2013-04-04",67.61,68.28,67.32,67.73,3360472
"2013-04-11",65.92,67.6,65.92,67.23,6904574
"2013-04-18",66.34,66.42,64.87,65,4566035
"2013-04-25",69.14,69.14,67.04,67.2,4744014
"2013-05-02",67.63,68.38,67.25,68.08,2869485
"2013-05-09",69.33,69.49,68.83,69.07,2208244
"2013-05-16",69.92,70.12,69.33,69.63,2783720
"2013-05-23",68.94,69.37,68.66,69.3,2394385
"2013-05-30",69.5,69.52,68.56,68.6,2014966
"2013-06-06",68.3,71.25,68.29,71.12,7428715
"2013-06-13",71.53,71.84,71.05,71.61,2892555
"2013-06-20",70.81,71,69.23,69.39,3127317
"2013-06-27",69.81,69.99,69.16,69.6,1828622
"2013-07-11",70.92,72.74,70.38,71.53,6580788
"2013-07-18",71.37,72.38,71.28,72.2,2741176
"2013-07-25",71.64,72.11,71.37,72.1,2049980
"2013-08-01",73.5,74.13,73.35,73.9,1646504
"2013-08-08",74.1,74.5,73.91,74.1,1310364
"2013-08-15",72.67,72.87,72.25,72.47,2053434
"2013-08-22",72.43,73,72.36,72.75,1106970
"2013-08-29",70.69,71.32,70.4,70.55,2610026
"2013-09-05",69.89,70.82,69.74,69.84,2633502
"2013-09-12",72.34,72.84,72.13,72.39,1795222
"2013-09-19",73.66,73.66,72.69,72.73,2164465
"2013-09-26",71.89,72.55,71.7,72.37,1501828
"2013-10-03",70.5,71.25,70.28,70.44,2515359
"2013-10-10",66.85,67.15,65.67,65.94,6865843
"2013-10-17",66.4,67.48,66.32,67.39,4084674
"2013-10-24",65.42,66.02,65.21,66,2725138
"2013-10-31",67.9,68,67.12,67.62,2585517
"2013-11-07",70.43,70.7,69.63,69.8,2659955
"2013-11-14",73.2,73.49,72.93,73.34,2474478
"2013-11-21",72.44,75.15,72.34,74.92,5691020
"2013-12-05",75.1,75.29,74,74.39,3789765
"2013-12-12",72.63,72.89,71.5,71.6,2957321
"2013-12-19",72.42,72.93,71.78,72.75,2696738
"2013-12-26",74.12,74.4,73.92,74.11,812567
"2014-01-02",75.38,75.61,74.83,75.09,1956285
"2014-01-09",74.91,76.53,74.75,75.05,3786054
"2014-01-16",73.25,73.83,72.25,72.3,3792124
"2014-01-23",70.54,70.68,69.32,69.8,4646577
"2014-01-30",66.85,66.98,66.17,66.6,4371024
"2014-02-06",70.69,71.86,70.55,71.17,3411362
"2014-02-13",73.05,73.89,72.86,73.82,2212830
"2014-02-20",72.9,73.32,72.45,72.98,1986200
"2014-02-27",73.39,74.17,73.38,73.79,2142414
"2014-03-06",75.76,77.75,75.75,77.29,5313192
"2014-03-13",77.24,77.5,75.6,75.83,2356510
"2014-03-20",74.48,75.56,74.17,75.25,2898445
"2014-03-27",73.95,74.13,72.23,73.2,3924876
"2014-04-03",77.48,77.6,76.12,76.44,2754950
"2014-04-10",76.74,76.91,74.74,75.19,3345813
"2014-04-17",76.65,77.11,76.18,76.34,2602455
"2014-04-24",77.48,77.5,75.77,76.79,2362595
"2014-05-01",76.92,76.98,75.87,76.25,3025418
"2014-05-08",75.77,76.46,75.72,75.94,2611397
"2014-05-15",75.92,76.03,74.07,74.87,3177539
"2014-05-22",74.63,75.14,74.35,74.87,1761859
"2014-05-29",76.92,77.2,76.35,76.72,2238696
"2014-06-05",78.87,79.34,78.55,79.11,1719053
"2014-06-12",79.58,79.88,78.63,78.77,1937628
"2014-06-19",79.95,80.65,79.83,80.37,2260677
"2014-06-26",82,82.13,81.18,81.72,2131148
"2014-07-03",81.95,82.94,81.85,82.49,1236035
"2014-07-10",82.45,82.72,81.96,82.47,1690871
"2014-07-17",80.58,81,76.65,77.01,12870193
"2014-07-24",75,75,73.73,73.84,5930515
"2014-07-31",68.69,69.48,68.09,69.4,17779409
"2014-08-07",70.44,70.57,69.56,69.72,3459227
"2014-08-14",71.34,71.34,70.4,71.05,3264008
"2014-08-21",73.21,73.21,72.05,72.28,3829953
"2014-08-28",72,72.57,71.72,72.31,2191942
"2014-09-04",69.89,71.85,69.63,71.68,7705862
"2014-09-11",72.62,73.34,72.25,72.59,2256950
"2014-09-18",72.76,72.81,72.29,72.64,1321847
"2014-09-25",72.53,72.71,71.4,71.54,2304730
"2014-10-02",71.55,72,71.05,71.52,2275209
"2014-10-09",70.71,70.72,68.96,69,3964469
"2014-10-16",65.9,68.13,65.9,67.62,3172413
"2014-10-23",69.62,69.66,69.04,69.25,1538336
"2014-10-30",69.53,70.2,69.41,69.98,2097434
"2014-11-06",73.09,73.35,72.45,73.1,2679866
"2014-11-13",74.61,75.6,74.61,75.39,3895446
"2014-11-20",74.5,75.76,74.49,75.51,4499097
"2014-12-04",77.5,78.22,76.89,77.73,2228168
"2014-12-11",71.01,72.96,70.55,72.02,7960980
"2014-12-18",71.28,71.77,70.81,71.74,4513792
"2015-01-08",72.9,73.78,72.84,73.59,3061324
"2015-01-15",72.14,72.78,71.41,71.45,3877640
"2015-01-22",72,74.13,71.69,73.79,3577143
"2015-01-29",72.65,74.3,72.39,74.27,2995565
"2015-02-05",73.05,75.57,72.11,75.2,9363141
"2015-02-12",74.29,74.9,73.41,74.8,2300203
"2015-02-19",76.57,76.91,75.97,76.67,2348553
"2015-02-26",78.87,79.5,78.22,79.39,3830458
"2015-03-05",80.07,80.86,79.66,80.52,3352462
"2015-03-12",77.06,77.93,76.74,77.84,2891923
"2015-03-19",78.8,79.19,78.49,78.74,3082524
"2015-03-26",78.53,79.18,78.22,78.55,2592727
"2015-04-02",79.02,79.92,78.48,79.79,3546970
"2015-04-09",78.04,78.97,78.01,78.92,3968367
"2015-04-16",79.59,80.75,79.37,79.49,3001220
"2015-04-23",83.84,84.44,83.35,84.07,4539012
"2015-04-30",86.06,86.81,85.61,85.96,2579694
"2015-05-07",89.42,90.53,88.94,90.13,3362708
"2015-05-14",90.37,90.74,89.76,90.02,2004069
"2015-05-21",94.53,94.62,93.14,93.44,3386272
"2015-05-28",91.95,92.19,91.14,91.8,2830427
"2015-06-04",90.75,91.1,90.2,90.52,2369411
"2015-06-11",91.89,92.09,91.2,91.33,1187050
"2015-06-18",91.44,93.33,91.32,92.68,2011778
"2015-06-25",91.84,91.99,91.2,91.38,2404454
"2015-07-02",91.9,92.42,90.74,91.55,2018034
"2015-07-09",88.51,89.85,87.86,87.99,5237849
"2015-07-16",89.5,89.84,87.79,88.25,3756279
"2015-07-23",89.04,89.23,87.59,87.82,3497510
"2015-07-30",87.82,88.36,87.02,88.02,1397128
"2015-08-06",89.27,89.67,87.49,87.77,2037720
"2015-08-13",81.5,85.09,81.31,83.8,7852423
"2015-08-20",85.2,85.58,81.71,81.82,7716237
"2015-08-27",80.1,82.95,80.1,82.27,4262565
"2015-09-03",80.66,80.95,79.76,80.22,1812124
"2015-09-10",80.79,81.22,79.48,79.9,3153308
"2015-09-17",82.93,83.9,82.41,82.97,3716236
"2015-09-24",78.55,78.55,77.29,78.32,3036376
"2015-10-01",80.01,80.53,79,79.87,3173689
"2015-10-08",67.11,68.3,66.35,67.46,13048579
"2015-10-15",68.98,69.45,67.99,69.27,4007626
"2015-10-22",74.15,74.61,72.52,72.68,5415481
"2015-10-29",72.91,73,72.21,72.51,2291203
"2015-11-05",71.66,71.93,70.78,71.17,2582827
"2015-11-12",68.32,68.47,66.69,67.12,6350181
"2015-11-19",71,71.99,70.76,71.68,3172935
"2015-12-03",75.07,75.18,72.92,73.13,3963808
"2015-12-10",74,74.1,71.17,73.19,6503394
"2015-12-17",73.54,74.01,72.2,72.2,3230627
"2015-12-24",73.84,74.66,73.68,74,1530159
"2015-12-31",73.64,73.9,73.02,73.05,1748090
"2016-01-07",69.81,70.42,68.68,69.08,7911864
"2016-01-14",69.25,70.25,67.86,70.01,3763928
"2016-01-21",68.32,69.88,67.68,68.96,4231294
"2016-01-28",69.79,71.11,69.31,70.41,4083696
"2016-02-04",71.97,72.99,70.08,72.31,12298540
"2016-02-11",65.75,66.18,64.58,65.24,3180904
"2016-02-18",70.87,71.63,70.37,71.03,2901730
"2016-02-25",71.81,71.94,69.51,70.96,4994090
"2016-03-03",75.53,76.44,74.91,76.39,2118299
"2016-03-10",76.79,77.47,75.49,76.76,2457691
"2016-03-17",78.79,79.46,78.12,78.79,2220840
"2016-03-24",80.11,80.11,78.91,79.35,2996532
"2016-03-31",82.3,82.62,81.41,81.85,2780156
"2016-04-07",81.64,82.26,80.78,81.27,2040466
"2016-04-14",81.92,82.43,81.56,82.4,2271216
"2016-04-21",84.87,85.79,80.76,81.7,13300279
"2016-04-28",80.99,81.38,80.27,80.44,1412966
"2016-05-05",80.59,81.14,80.01,80.84,2676590
"2016-05-12",81.2,82,80.89,81.57,1684295
"2016-05-19",79.99,80.23,79.22,80.07,1989584
"2016-05-26",82.86,83.42,82.26,82.45,2575684
"2016-06-02",82.28,82.76,81.56,82.46,2033064
"2016-06-09",83.78,84.33,83.71,83.73,2526941
"2016-06-16",82.33,83.01,81.66,82.92,2686209
"2016-06-23",84.59,85.92,84.55,85.9,2718331
"2016-06-30",82.64,82.94,81.8,82.92,3739364
"2016-07-07",84.3,84.77,83.97,84.31,3538096
"2016-07-14",90.05,90.6,87.86,88.27,10548122
"2016-07-21",87.53,88.13,87.26,87.9,2016649
"2016-07-28",89.69,90.55,89.62,90.26,2329435
"2016-08-04",88.27,88.85,87.95,88.42,1794276
"2016-08-11",88.86,90.36,88.86,89.98,2515789
"2016-08-18",89.88,90.88,89.78,90.76,2093465
"2016-08-25",89.72,90.3,89.51,89.94,2441670
"2016-09-01",90.58,91.03,90.44,90.76,1774251
"2016-09-08",90.03,90.19,88.84,88.89,3498427
"2016-09-15",86.78,87.94,86.26,87.79,3051241
